source,translated,question,answer
Olumbe lwa Korona,Te Kabara u Virusu Corona,,
,,,
,,,
,Buntu sa asa ako waralu kodhumahani wana umpa na virusu corona o linda kua mia hele,,
,Ngusu ,,
,Ngo'o ,,
,Mata ,,
,Maso kua laro ,,
,Mia nami leama ,,
,Mia moho ,,
,Te virusu o dhari o linda ara ane kene ilu,,
,Bhara i hetangku,,
,1,,
,2m-0,,
,Haaachi!! ,,
,Dhari ara i ita temia more,,
,Hu"uke te maskere. Ako dhari o atiho/more i laro u maskereno,,
,2,,
,Tarima kasih *SROOOT* ,,
,Atawa ,,
,Umura te mia meana'e mbeaka nomohoo,,
,Te mia i rahomo umohoo umura mbeaka otoita na tanda tandano,,
,Sabanaranomo,,
,I ala alati u manga'a,,
,I konta'a u kereta ,,
,I tindisi'a u lift,,
,I tisu ,,
,I tonde ,,
,I ala alati u digital mai ,,
,Umura uma i liku u maskere atawa i bhanto u ngusu kene ngo'o ,,
,I uranga u parangkai'a i au soha ,,
,Tetikus ,,
,I pena ,,
,I konta'a u soha ,,
,I Limano ,,
,Mou wana umpa te ilu mia moho ojari na rumapi i ,,
,sabha'angkomiu odhari ki moho.,,
,Atawa te rou umia i lepe miu atawa te hesulu miu,,
,Kilumole te mata ,,
,Ara te ikomiu mbeaka ki mepu mepu kidhumingku te bara bara i ngaa i bhaiya ha atu,,
,Sa'asa asano ako dhunari umambe te virusu meana'e ai sa buntumo kiwumuwu'i na lima miu kene ki pumake te sabo,,
,Te virusu meana'e ai o dhari na umidho i wawo u bara bara awana: ,,
,Sabo,,
,te mingku bhara ako raho kita,,
,Dhari bhara ako i moho,,
,Wu ike te sabo apa ana ,,
,Siku lima ,,
,Bhara i dhingku dhingku na rou miu atawa te roumo u emai emai. Ara kua tabedha ki kumontane na rou atu,,
,Awana kilumagu ako te lagu Selamat Ulang tahun dhua Wali ,,
,I woru uka ukuku lima miu ,,
,Salengo 20 detiki ,,
,I antara uka u wunga u lima miu ,,
,Wuwuike na liku lima miu ,,
,Wana umpa na cara hewanu'a atawa wuwuika nulima kumobhe?,,
,Buntu kua ara i sala dhingkune bhara uka i harai sambira,,
,Bhara i dhingku dhingku te luara u maskere miu. ,,
,Te wiwinsa u ilu ,,
,Te bakteri o dhari na umidho i laro u maskere ara ki pumake'e harai molengo. ,,
,Kabhiemo na maskere miu ara i namisie kua o rakisomo. Bhara i pake te maskere o labhi mina sa'oloo! ,,
,Pake te sidhu ro'okau ,,
,Anabhou ,,
,Ama,,
,Ina,,
,Pake te handu miu samia nsamia ,,
,Bhara i pake koruo te i manga,,
,Toumpa mbeaka ako na dhmari kodhuningku te rou'u kene kopumake te siku'u,,
,Ara ane nodhari,,
,Wunua,,
,Ara i waliako mina dhi halia'a i luara u wunua ,,
,Mina mbeadho i manga ,,
,Pande wuwuike na lima miu te sabo ,,
,Ahirino,,
,Dhagane na kesehatan niu bhara i moho mohoo! ,,
,Basa te cara cara heleno mai i buria umane i buria i wawo ,,
,This animation shows how far your sneeze can actually travel by Chia Yi Hou and Andrea Schmitz,,
,The Wuhan Virus: How to stay safe,,
,How to avoid the coronavirus? Wash your hands,,
,Te tampa basaa lumeama ako te nguru u kesehatan ,,
,Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya,,
,,,
,,,
,,,
Olumbe lwa Korona                                                                                      Olumbe lwa Korona        ,Te Kabara u Virusu Corona    Buntu sa asa ako waralu kodhumahani wana umpa na virusu corona o linda kua mia hele  Ngusu  Ngo'o  Mata  Maso kua laro  Mia nami leama  Mia moho  Te virusu o dhari o linda ara ane kene ilu Bhara i hetangku,,
