source,translated,question,answer
Saki palelean ba'tu' saki korona,About Coronavirus,,
,,,
,,,
Mesari lammu penondai isanga titattanna saki palelean ba'tu' saki korona,,,
Puduk,,,
Illong,,,
Mata,,,
lutama,,,
To maleke,,,
To masaki,,,
Tibisi'na elo'na tau iamo to'o uppodadi saki palelean ba’tu’ saki korona lako tau buda,,,
Ato'i sialla'mu lako tau. Kemalako ungato’ sialla'mu lako tau si 2m, tae' siako lanna basa tibissi'na elo'na tau.,,
1,,,
2m-0,5m,,
Haaachii!!,,,
Kedeenko ummita tau to'ko'/Koroan/masaki, malako uppokau' susi te'te:,,
Benganni kain petutu' puduk solamu. Anna malara unjakai padanna rupa tau. ke to'ko'i deen sia kain petutu'  puduk ullawai.,,,
2,,,
Kurresumanga' “SROOT”,,,
Ba’tu’,,,
Deen tau tae' masaki palelean. Appo’ parallu unjakai kalena.,,,
Kedeen mi tau nalelei saki ia to'o Ke ikitai tanda-tandana, susu to tae' nabasa saki palelean.,,
Biasanna napokau' tau buda, mapianna ake' tae'ki' si ko'bon-ko'bon dolo lalan kamaroasan,,
Parewa dapo',,,
Pettoean kereta,,,
Pa'temmesanna lift,,,
Tissu,,,
Tanggi' kaca,,,
Parewa digital,,,
Sallianna petutu' puduk,,,
Pettoean eran,,,
Balao,,,
Pattuli',,,
Pettoean ba'ba,,,
Limanna tau,,,
Moi to Susi o, biasa wai elo'na tau mekke'pe' lako…,,
Mittu'mu to'o mala ko nabasa saki palelean ba'tu' saki korona.,,,
Ba'tu' lindona solah-solahmu tomusikadappisan,,,
Urussa' mata,,,
Anna ke' tae' musengaja urrumbu parewa-parewa susi tomai, anna urrumbu boi lindomu,,
Mesa'ri pa'pokausan marrasana mala ipokau ke moraiki uppa'dei saki palelean iamo ke' ibasei uppake sabung anna  cukka.,,,
Anu' ia to'o saki palelean mala masaeng mekke'pe' lako parewa- parewa susi tu mai,,,
Sabung,,,
Adi' ke malai, pa'pokausan mapia uppeula'i ki pellaoan marrasa dio te'e.,,
Basei pake' sabung lambi’ ia to'o,,,
Sikku,,,
Damo urrumbu lindomu (ba'tu' lindona tau senga'). Appo' ke marru tae’ mi musara basei dolu limammu pake' sabung.,,,
Susi nanian “Tanete Sandapang” ipenani penduan.,,,
Kale dokkona kanuku,,,
Lambi' dua pulo detik,,,
Alla' alla'na rakka' lima,,,
Basei boko' lima,,,
Umbanakua carana umbasei lima lambi’ barassi?,,,
Appo' ke' manda' irumbu, damo mataku'. Mati'pa' ko umbasei limammu pake' sabung.,,
Damo rumbui sallianna kain petutu' puduk.,,,
Natibissikki wai elo',,,
Saki mala membea' illalan kain petutu' pudukta ke marru masaemi ipake.,,,
Tibemi kain petutu' pudukmu ke bureremi. Damo pake' kain petutu' puduk ke melawemi sangallo.,,,
Pake' i sendo' nasuan,,,
Ana',,,
Ambe',,,
Indo',,,
Kana' upakeko handu'mu tae' mala musibala'-bala'i.,,,
Damo sola-soalai parewa kakumandean, tanggi’,,
Anu’ tae' ko mala urrumbu lindo  uppake siikku kalemu. Ade' pokau' i mala raka, tae' raka mala.,,
Kemalai, sikkummu ba’tu’ boko’mu mupake umbukka' anna uttutu' ba’ba.,,
Banua,,,
Ke manda' moko lao mallai lalanmai banua,,,
Ke ta’e poko kumande,,,
Basei tarru' limammu pake' sabung...,,,
Kasundunanna,,,
Jakai kalemu ndana' masakiko!,,,
Bacai pellaoan mapia to ituli' dengena' yao!,,,
This animation shows how far your sneeze can actually travel by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21,,
The Wuhan Virus: How to stay safe, by Laurie Garrett,,
How to avoid the coronavirus? Wash your hands, by Elizabeth Rosenthal,,
Parallu iperangi'I to'o napokadanna mittu'na sa' dotto':,,,
Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek,,
,Diterjemahkan ke dalam Bahasa Kalumpang oleh Nikolaus.,,
,Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org),,
,Created by Weiman Kow,,
Saki palelean ba'tu' saki korona    Mesari lammu penondai isanga titattanna saki palelean ba'tu' saki korona  Puduk Illong Mata lutama To maleke To masaki Tibisi'na elo'na tau iamo to'o uppodadi saki palelean ba’tu’ saki korona lako tau buda Ato'i sialla'mu lako tau. Kemalako ungato’ sialla'mu lako tau si 2m, tae' siako lanna basa tibissi'na elo'na tau. 1 2m-0,,
