source,translated,question,answer
Olumbe lwa Korona,Ni Kaini Buoros Altoil Corona,,
,,,
,,,
,Ni MRES deri le molot fe buoros altoil Corona ou wbet-bet kein wan na man hra ydain.,,
,giet ,,
,towadio ,,
,sifuon ,,
,yloit yse ,,
,na hra wdain,,
,na wkaini ,,
,Buoros ou wbet-bet kein wain fe giet lit-lat ei ,,
,Ntiek nhenti kat ou kniet lak,,
,1,,
,2m-0,,
,Atsyeee!,,
,Mde hra nen nhot na mre wto wdeye,,
,Hnak masker man ou. Mto masker mlakti wgiet om,,
,2,,
,Nai fe na   *srooot*,,
,AFE,,
,Bo na okom mkaini dait,,
,Na oko wkaini wale wak wabri,,
,Ma bot ma ntiek nehinti kat na marok,,
,finggien ,,
,na hra wkaini dait ,,
,ni slon ,,
,tombol lift ,,
,tisu ,,
,met ,,
,hp laptop ,,
,mak fot masker msibiele ,,
,bol wlin ,,
,maus komputer ,,
,pulpen ,,
,slon hrede ,,
,wna ,,
,Na wkaini ou wgiet lit-lat ei bo ybat-bat yin:,,
,bo la nan nkaini fot ni kaini okom.,,
,sifuon na wat afe,,
,nsifuon afe,,
,De hra nen nokot ni mrem mahin ni eke,,
,Mto nen naisi buoros ou wdain ofo,,
,Buoros ni kaini oko,,
,Sabun ,,
,ni kakniet mahot le mkei.,,
,Mde,,
,Nware nnai yidien sabun kaide hra ko.,,
,Na sia ,,
,Mres:  Nokot amot nsifuon. Nto nokot ofo,,
,Mde hra nen nmenyanyi “Panjang Umurnya” mau lak. ,,
,nna kdi ei ,,
,kaide 20 detik ,,
,nna tofo lalaka ei ,,
,Nware nna toin sbiele ,,
,Faf fware fnai ybot-bot yde sie? ,,
,Nto nokot ofo,,
,Yei,,
,batet giet lit-lat,,
,Fe hra nto nsiok lis-lis masker,,
,Lak: Mde hra nfe masker kertas om mdahan ofo,,
,Nkain wat-wat sendok. ,,
,wet ,,
,Tono ,,
,Teme ,,
,Nkain wat-wat handok. ,,
,Tolik: Yei,,
,Se bo nna tofo ei ydahan dait,,
,Hat : Nkotiek hrede afe nlak ti hrede madien nna sia afe,,
,BOL,,
,mto nain nse wi wat,,
,Sba se nat ni eit,,
,Nware nnai yidien sabun...,,
,Mahot,,
,Sabun,,
,Naliek si nen se bo nbot-bot deri! ,,
,Baca tips-tips lainnya pada artikel-artikel di atas!,,
,This animation shows how far your sneeze can actually travel by Chia Yi Hou and Andrea Schmitz,,
,The Wuhan Virus: How to stay safe,,
,How to avoid the coronavirus? Wash your hands,,
,Nto ndihar info wat Salo Ingris:,,
,Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya,,
,,,
,,,
,,,
Olumbe lwa Korona                                                                                      Olumbe lwa Korona        ,Ni Kaini Buoros Altoil Corona    Ni MRES deri le molot fe buoros altoil Corona ou wbet-bet kein wan na man hra ydain.  giet  towadio  sifuon  yloit yse  na hra wdain na wkaini  Buoros ou wbet-bet kein wain fe giet lit-lat ei  Ntiek nhenti kat ou kniet lak,,
