source,translated,question,answer
Wori Faayrashi Koroona miinsan,About Coronavirus,,
,,,
Translated by Joshua Galimogle, Laban Eysinkele & Joshua Borano,,
,,,
Wohoo kaldaye saggi Faayrashi Koroona itaa’ho at abatti on jira,,,
Saggi us itaaho’,,,
Af,,,
Sam,,,
Indo,,,
Miilassaah,,,
Eti feyyan,,,
Eti khannan,,,
Faayras chirri  hanjufti,,,
Foga ileero: Mitta lamma hanjuf a kaalaabta.,,,
Koow,,,
Mitta lamma,,,
Attissiyo,,,
’Deerka chirri at etoo yarho, attissiyo ommos khannan agarte waha yeel:,,
Dafarti fool lakorsati sii: Intaas a kayarheene ommo a kaattissiyeen, uus ’doo’di isoodow khabsiin,,
Lamma,,,
Dafarti lakaneebsati,,,
Ommos,,,
Kolossoo ma khannane sugeer on iskajeyissa.,,,
Enenyet a geeddi us khannanyahe i’daasenyi wihi tuso liiargine us enenyet khabsiicho.,,,
Ururre goya iiran a mehe eti khannan ma garatti.,,,
Kho’doomme,,,
Saabab,,,
Meelassi lafuro,,,
Khadaabbe,,,
Kokkoobbe,,,
Bir,,,
Darfohi fool lakorsati kharicho laka,,,
Faaneyohi lakakoro,,,
Ulaa’du,,,
Kalaamoyyo,,,
Afassi minanoot,,,
Dahano,,,
I’daasenyi hanjufti eti khannan ilassa a kidihta…..,,,
Atin tuumman a geeddi atin khannattaan,,,
Ommos fooli etaahkoo ’daarte,,,
Indo isrobto,,,
Chirri at wahanyeyyoha baabul ’daarte at toro foolaah ’daarte,,,
Ichoow jiti kaldaye at holisso a chirri at saabbuun, ildawa ommos farso kadikhto.,,
Faayras a geeddi us saha’dohoo meel kijiro,,,
Saabbuun,,,
Waansi,,,
A haaggantahe chirri at waansiha raahto,,,
Miilassa saabbuun kadikh,,,
Dikkil,,,
Foolaah ommos fooli etoo a’daarin. Geeddi at i’daarin dahanohaah koloo saabbuun kadikh,,,
Geedda at dikhatti  geeyoo gaaban kol lamma dowo,,,
Goffanne ilichooda,,,
Geeddoo dikh,,,
Farro dahchooda,,,
Dahanohaah adahcho dikh,,,
Weyti a mehe?,,,
Cha’at ’daarte awa’waa’din. Dahano saabbuun kadikho.,,,
Toro dafartaas fool khariche a’daarin.,,,
hanjuf,,,
Wihi sugeer keeno dafartaas fool goya kasoobahaan cha’at geeddi deer gessatte,,,
Dafarti fool chi’iche geeddoo fiddiite rog. Maalinkoo kalday akutin.,,,
Kucchugati golol lakagessati khab,,,
Weel,,,
Ooyo,,,
Abar,,,
Ebba dafartiis a khabo,,,
Golol, karmo,,
Dikkil fool ma ka’daarto koloo kalday laka.,,,
Afaf dikkil ommos barbar kafure ommos kahid dahano birriche mee.,,,
Goob,,,
Ichoow cha’at urur goya katimiy,,,
Geeddi at igolossan,,,
Kol dakkhan dahanohaah saabbuun kadikh,,,
Wihi ’da’ddaboot,,,
saabbuun,,,
Mujjum fiddiiy, enenyet tuumman,,
Worassaas mujjum soom,,,
“This animation shows how far your sneeze can actually travel” by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21,,
“The Wuhan Virus: How to stay safe”, by Laurie Garrett,,
“How to avoid the coronavirus? Wash your hands”. By Elizabeth Rosenthal, in the New York Times,,
Meelassi wora feyyaat lakeelo,,,
Additional notes: Hygiene precautions in comic are effective in preventing many other common infections such as flu and cold, and should be applied in every day life,,
,Bible Translation & Literacy E.A,,
,Translated by Joshua Galimogle,,
,Created by Weiman Kow,,
Wori Faayrashi Koroona miinsan  Translated by Joshua Galimogle, Laban Eysinkele & Joshua Borano  Wohoo kaldaye saggi Faayrashi Koroona itaa’ho at abatti on jira Saggi us itaaho’ Af Sam Indo Miilassaah Eti feyyan Eti khannan Faayras chirri  hanjufti Foga ileero: Mitta lamma hanjuf a kaalaabta. Koow Mitta lamma Attissiyo ’Deerka chirri at etoo yarho,,
