Mon,5
Burmese,11
English,207
Spanish,53
Honduras Sign Language,1
Swahili (individual language),8
Tharaka,1
Manado Malay,1
Tachoni,22
Jambi Malay,1
Indonesian,21
Mbudum,1
French,59
Esimbi,1
Ngombale,1
Dusun Malang,1
Colombian Sign Language,9
Helong,1
Matal,1
Tigon Mbembe,1
Kaqchikel,11
Q'anjob'al,3
Mada (Cameroon),1
Ilwana,1
Luyia,2
Russian,9
Okiek,1
Awing,1
Tombulu,2
Lamnso',1
Kenyang,1
Wejewa,1
qaa,1
Ngwe,1
Buwal,1
Pancana,1
Akha,14
Lashi,2
Wambon,2
Mitla Zapotec,4
KekchÃ­,4
Mmen,1
U,1
Wa,2
Bamenyam,1
Ambai,1
Balinese,1
Mefele,1
Lefa,1
Tok Pisin,7
Semai,2
Koonzime,1
Kikuyu,5
Mmaala,1
Samburu,1
Lengo,1
Elip,1
Kamba (Kenya),1
Ngaju,1
Pokomo,2
Mundani,1
Kom (Cameroon),1
Senara SÃ©noufo,1
Mamara Senoufo,1
Tiang,1
Mpur,1
Tase Naga,2
Riang Lai,2
Shan,2
Kulung (Nigeria),1
Tetun Dili,1
Akoose,1
Meta',2
Waata,1
Aghem,1
Maru,1
Ambonese Malay,1
Tukang Besi North,1
Bamun,1
Taveta,1
Ngemba,1
Tsamai,1
Amharic,1
Bambili-Bambui,2
Ngomba,1
Standard Moroccan Tamazight,1
Bodo Gadaba,3
Limbum,1
Markweeta,1
Napo Lowland Quechua,1
Kwakum,1
Babanki,1
Bafaw-Balong,2
Rendille,1
Isu (Menchum Division),1
Javanese,1
Sundanese,1
Portuguese,1
Buginese,1
Lahta Karen,2
Mokpwe,1
Pana (Central African Republic),1
Dela-Oenale,1
Lambayeque Quechua,2
Ewondo,1
Duruma,1
Huallaga HuÃ¡nuco Quechua,1
Tolaki,1
Ruching Palaung,1
Tuki,1
Ngwo,1
Tontemboan,1
Bima,1
Vietnamese,1
Gavar,1
Bafut,1
Cuvok,1
Guatemalan Sign Language,1
Yemba,1
Jarai,1
Topoiyo,1
Cia-Cia,1
Mpumpong,1
Chuka,1
Lamboya,1
Wolio,1
Tehit,1
Lole,1
Yangben,1
Suba,1
Digo,1
Moloko,1
Western Juxtlahuaca Mixtec,1
Upper Ta'oih,1
Lao,1
Kwaio,1
Bangandu,1
Mengaka,1
Bakoko,1
Wumboko,1
Sangil,1
Cebuano,1
Adamawa Fulfulde,1
Western Dani,1
Njyem,1
Kupang Malay,1
Aragonese,1
Nugunu (Cameroon),1
South Nuaulu,1
Leti (Indonesia),1
Punan Tubu,1
Kalumpang,1
Kagayanen,2
Sabu,1
Mina (Cameroon),1
Ulumanda',1
Wagdi,1
Hindi,1
