saq,eng
Mbaa naipirita koronapairas,About Coronavirus
,
Translated by Abednego Lolokuru,
,
Keatae ntoki nabo ake neyiere niyelou neiko Koronapairas,
tenarasaa,
Nkutuk,
Nkume,
Nkonyek,
tenejing’ atua,
ltung’ani bioto,
Ltung’ani omwai,
Kerasaa ana pairas tanaa kore kullo ldarat,
Talama: kore tinilamari riot are naaku mikibaki naa lolo darat.,
Nabo,
riot are,
ottisia!,
Naaku tinidol ltung’ani egira allwa/ nesing’/omwai indim nigelu aas:,
Nchoo nanka napuyiapui. Keidim nolwuaki ankata esing’aki nia anka neirita lkule enyikita ninye.,
are,
Ashe oleng “aisugsug”,
Tanaa,
"Keidim aikata naaku momwai, koon ake eripito.",
Kore ltung’ana etarasutua keidim neitarasaa abaki tanaa melio ajo komoyia ninche.,
"Kore te nkidapash, keisupat piilam ltururi amu miyiolo naa aikata ajo ng’ae omwai.",
njipet,
Ltung’ani bioto,
Lgiitan le nkari enkima,
ng’oji naironyi te ntoki nailiepeki nkurupani,
Tishu,
lkoombeni,
Mashinini,
ankata siake oriong enia anka napuyiapui enkutuk,
nkasi enkurupani,
ntoki ekompita,
Lkalamu,
Nkubung’at emilanko,
Nkaik enche,
Kake kore aikata keidim nkamulak eltung’ani omwai nodoki ntokitin...,
indimdim nimwai pookin,
tanaa nkomom eltung’ani linchi,
ning’ing’i nkonyek,
"Naa kore tinishomo niimbong’ kunna tokitin aikata imiyiolo, nintoki aibung’ nkomom ino,",
naa kore ake nkoitei nanere puworinye koon naa tununtukoo te saiboni.,
Keidim ale kukuu nowuon tee ntokitin tenkata naado,
saiboni,
baa naanere nias,
Naaku nia peishiakino tininjipaa kunna,
ntuko te saiboni metabaki ene,
Saiboni,
laideloki,
"Mimbung’ nkomoom ino (tanaa nkomoom elikae). Kore tanaa iyeu nimbung’, ntuko angas nkaik te saiboni katukul.",
Nkata naitosha piirany “mpari eunoto eng’ida” nkatitin are.,
atwa laisotok,
te sekondi tikitam,
Terishet lkumojik,
Ntuko oriong enkaik inono,
Nyo eji katukul?,
"tenaaku aikata imbung’a, muure. Ntuko ake adake nkaik inono te saiboni.",
"Kore atoki, tanaa keidimai, miimbung’ oriong enia aanka ninchopito te nkutuk.",
ldarat,
Kobulu naa ale kukuu taatua nia anka tininchop nkata naado.,
Nturai nia kitambaa enkutuk tenejing lchapu. Minterepaa mpari inchopito!,
taashishere lo kijiko liworie ndaa,
nkerai,
Papa,
Yeyio,
meata ltungani lemeata taulo enye,
"Eming’ar ndaa, mpilipili, lkoombeni anaa sii taulo.",
Meata nunko tiniseyie nkomoom ino te laideloki abaki tinitasaana.,
"tanaa keidimai, tobolie tanaa nkenie milangoni laideloki tanaa sipi aaku mara nkaik.",
nkang’,
oo tinishukunye ichomo boo.,
ewon eitu inya ndaa.,
Ntuko nkaik inono te saiboni nkata pooki.,
"kore nikindipie,",
"Airita aate, pookin.",
Read the articles for more tips!,
"“This animation shows how far your sneeze can actually travel” by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",
"“The Wuhan Virus: How to stay safe”, by Laurie Garrett, in Foreign policy, Report. (Jan 25, 2020) ",
