tth,lao,eng
ເລື່ອງປ້ອງກັນຕົວຈາກ ໄວຣັສໂຄໂລນາ,ເລື່ອງປ້ອງກັນຕົວຈາກ ໄວຣັສໂຄໂລນາ,About Coronavirus
,,
,ມີສິ່ງທີ່ທຸກຄົນຄວນເຂົ້າໃຈ ກ່ຽວກັບການແຜ່ລະບາດ ຂອງໄວຣັສ ,There's only ONE thing ﻿you need to understand about how a coronavirus
,ໂຄໂລນາ,SPREADS
,ປາກ,Mouth
,ຮູດັງ,Nose
,ຕາ,Eyes
,ເຂົົ້າໃນ,Get into your
,       ຜູ້ສະບາຍດີ,Healthy Person
,ຜູເປັນໄຂ້,Sick Person
,"ໄວຣັສນັ້ນສາມາດແຜ່ໄປ ຕິດຄົນອື່ນເມື່ອຜູຕິດເຊື້ອໄອ ຫຼືຈາມ, ແລ້ວຢອດເຫຼົ່ານີ້",The virus spreads when ﻿these droplets
,ຈົ່ງຮັກສາລະຍະຫ່າງເດີ້! ປະມານ2ແມັດ ຈະຊ່ວຍປ້ອງກັນຕົວ ຈາກຢອດເຫຼົ່ານັ້ນ.,Keep your distance.﻿2m to 0.5m will keep you safe from large droplets.
,1,1
,2ແມັດ,2m-0.5m
,ໄອຈາມ,Achoo!
,"ດັ່ງນັ້ນຖ້າສົົມມຸດທ່ານເຫັນຄົນທີ່ໄອຈາມ, ມີສິ່ງທີ່ຕ້ອງເຮັດຄື:",So if you see someone who is visibly coughing/sneezing/sick you can choose to:
,ເອົາໜ້າກາກໃຫ້ຄົນນັ້ນ. ເຂົາຈຶ່ງຈະສາມາດໄອ ຫຼືຈາມໃສ່ໜ້າກາກ ແລ້ວບໍ່ຖືກໃສ່ຜູ້ໃກ້ຄຽງ.,Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby
,2,2
,ຂໍຂອບໃຈຫຼາຍ,Thank you﻿*sniffles*
,ຫຼືວ່າ,"OR,"
,"ຜູ້ນີ້ອາດຈະຍັງສະບາຍດີຢູ່,    ມີແຕ່ຢາກປ້ອງກັນຕົວ.","Maybe she's not sick, just protecting herself"
,"ບາງເທື່ອຈະມີຄົນທີ່ຕິດເຊື້ອແລ້ວ, ແຕ່ບໍ່ສະແດງອາການ","People who are infected can show no symptoms, but are still﻿infectious"
,"ໂດຍທົວໄປ ໃຫ້ຫຼີກເວັ້ນຈາກຝູງຊົນກໍດີກວ່າ, ເພາະເຮົາບໍ່ຮູ້ວ່າ  ຜູ້ໃດບໍ່ສະບາຍ.","And in general, it's a good idea to avoid crowds, because you don't know who might be sick."
,ໄມ້ຖູ່,chopsticks
,ຄົນ ສະບາຍດີ,Healthy person
,ທີ່ຈັບ,Train straps
,ກະດຸມຫ້ອງລິບ,Lift buttons
,ກະດາດທິດຊູ,Tissues
,ຈອກ,Cups
,ໂທລະສັບ ຫຼືຄອມ,Digital devices
,ແມ່ນແຕ່ທາງນອກ ໜ້າກາກຂອງທ່ານ.,& even on the outside of your face mask
,ພະນັກຂັ້ນໄດ,Stair bannisters
,ເມົາສ໌,Mouse
,ປາກກາ,Pens
,ລູກປິດປະຕູ,Door knobs
,ມືຂອງຄົນນັ້ນ,Their hands
,"ຢ່າງໃດກໍຕາມ ບາງເທື່ອນຳລາຍຂອງຄົນ ທີ່ເປັນໄຂ້     ອາດຈະຕິດສິ່ງຂອງ ຕ່າງໆ..,","However, sometimes a sick person's saliva can get on other things…"
,ທຸກຄົນອາດຈະຕິດເຊື້ອໄດ້.,you might all fall sick.
,ຫຼືສໍາຜັດໃບໜ້າ ຂອງຜູ້ໃນ ຄອບ ຄົວ...,or your loved one's face
,ຂະຍີ້ຕາ,rub eyes
,ຖ້າສົມມຸດວ່າ ທ່ານຈັບສິ່ງຂອງເຫຼົ່ານີ້ ແລ້ວກໍຈັບໃບໜ້າຂອງທ່ານ...,"And if you do touch any of these things by accident, and then touch your face,"
,"ສະນັ້ນ ຖ້າຈະກໍາຈັດກໍຕ້ອງເອົາສະບູ, ຢາຟອກຂາວ, ຫຼືແອລກໍຮໍ ມາລ້າງຫຼືເຊັດ.","and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol."
