swh,kik,vie,eng
Epuka Korona,Wĩtheme Kovid-19,Phòng tránh Covid-19,Avoid Covid-19
,,,
,,,Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 27.3.2020
,,,﻿Advocacy and Alliance Building SIL Africa
,,"Rửa tay của bạn thường xuyên với nước và xà phòng, hoặc làm sạch lại bằng cồn rửa tay.","Wash your hands regularly with soap and water, or clean them with alcohol-based hand rub."
,,"Hạn chế đưa tay lên mắt, mũi và miệng.","Avoid touching eyes, nose and mouth. "
,,Che mũi và miệng của bạn bằng khuỷu tay hoặc sử dụng khăn tay khi bạn ho hay hắt xì.  ,Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose the used tissue immediately.
,,Giữ khoảng cách 2m giữa bạn và những người xung quanh. Hạn chế ra ngoài nếu không cần thiết và đến những nơi đông người.,Maintain a distance of 2 meters between yourself and others. Avoid unnecessary travel and stay away from large groups of people.
,,"Hãy ở nhà nếu bạn cảm thấy không khỏe. Trong trường hợp nếu bạn bị sốt, ho và khó thở, hãy đi ngay đến các trung tâm y tế . ","Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early.  "
,,Cập nhật các thông tin mới nhất về Covid-19 và tuân thủ các chỉ dẫn y tế của chính quyền sở tại.,Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.  
Epuka Korona    Epuka Korona             ,Wĩtheme Kovid-19    Wĩtheme Kovid-19             ,"Phòng tránh Covid-19    Phòng tránh Covid-19      Rửa tay của bạn thường xuyên với nước và xà phòng, hoặc làm sạch lại bằng cồn rửa tay. Hạn chế đưa tay lên mắt, mũi và miệng. Che mũi và miệng của bạn bằng khuỷu tay hoặc sử dụng khăn tay khi bạn ho hay hắt xì.   Giữ khoảng cách 2m giữa bạn và những người xung quanh. Hạn chế ra ngoài nếu không cần thiết và đến những nơi đông người. Hãy ở nhà nếu bạn cảm thấy không khỏe. Trong trường hợp nếu bạn bị sốt, ho và khó thở, hãy đi ngay đến các trung tâm y tế .  Cập nhật các thông tin mới nhất về Covid-19 và tuân thủ các chỉ dẫn y tế của chính quyền sở tại.  ","Avoid Covid-19    Avoid Covid-19 Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 27.3.2020 ﻿Advocacy and Alliance Building SIL Africa    Wash your hands regularly with soap and water, or clean them with alcohol-based hand rub. Avoid touching eyes, nose and mouth.  Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose the used tissue immediately. Maintain a distance of 2 meters between yourself and others. Avoid unnecessary travel and stay away from large groups of people. Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early.   Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.    "
