lts,sun,eng
Olumbe lwa Korona,Ngeunaan Virus Corona,About Coronavirus
,,
,,
,Mung hiji anu kedah diuninga ku Anjeun soal kumaha virus Corona ,
,KASEBAR,
,Baham,
,Pangambung,
,Panon,
,lebet ka na ,
,Jalmi anu séhat,
,Anu teu damang ,
,Virus bakal kasebar upami cipratan ciduh ,
,"Ngajauhan. Anjeun bakal aman tina cipratan ciduh kumargi ngajauhan, anggang 2 méter.",
,1,
,"2-0,5 méter ",
,Haaachii!! ,
,"Jadi, lamun anjeun ningali jalmi anu batuk/bersin/teu raraos, anjeun tiasa ",
,"Pasihan masker. Janten, maranéhna tiasa bersin/batuk dina lebet masker supados jalmi di sakurilingna aman. ",
,2,
,Hatur nuhun “sroot” ,
,Atanapi ,
,"Meureun anjeunna teu udur, ngan anjeuna nyalametkeun diri ",
,"Sing saha waé anu parantos katarajang panyawat (covid 19) tiasa janten teu katawis, namung tetep tiasa népakeun panyawatna. ",
,"Umumna, langkung saé ulah ka nu ramé, sabab anjeun moal terang saha waé anu nuju udur.  ",
,Parabot ,
,Jalmi séhat ,
,Panyepengan dina karéta ,
,Tombol lift ,
,Tisu  ,
,Gelas ,
,"Hénpon, léptop",
,Tur di belah luar masker ,
,Panyepengan tangga ,
,Tetikus ,
,Pulpen ,
,Tulak panto ,
,Panangan maranéhna ,
,"Sanajan kitu, ciduh anu teu damang tiasa napel dina ",
,Anjeun sadayana tiasa katarajang panyawat.,
,Atanapi raray réréncangan/kulawargi hidep ,
,Ngucek panon ,
,"Upami anjeun teu kahaja nyepeng barang-barang éta, teras nyepeng raray nyalira, ",
,"Hiji-hijina cara ampuh pikeun nyingkirkeun virus nyaéta ngumbah éta barang nganggo sabun, pemutih atawa alcohol.",
,"Virus tahan dugi ka 24 jam napel dina hiji barang, ",
,Sabun ,
,cara pancegahan ieu. ,
,"Kumargi kitu, langkung saé turutkeun ",
,Wasuh panangan semet palebah dieu,
,Siku ,
,"Ulah nyepeng raray salira (atawa raray saha ogé). Upami émang kedah, wasuh heula panangan anjeun nganggo sabun sing beresih. ",
,Sapertos ngalagu “Happy Birthday” dua kali ,
,Di handapeun kuku ,
,Salami 20 detik ,
,Di sela-sela ramo ,
,Wasuh tukangeun leungeun ,
,Kumaha carana wawasuh panangan sangkan beresih?,
,"Lamun katoél, ulah hariwang. Geura wasuh panangan nganggo sabun. ",
,Ulah noél palebah luar masker. ,
,Cipratan ciduh ,
,Baktéri tiasa 'anakan' di palebah lebet masker upami masker éta lami teuing dianggona. ,
,Piceun masker anu tos kotor. Ulah nganggo masker langkung ti sadinten ,
,Anggo séndok sayur ,
,Murangkalih ,
,Bapa ,
,Ibu ,
,Anggo anduk masing-masing ,
,"Katuangan, parabot tuang, gelas, anduk ulah dianggo sasarengan. ",
,"Anjeun moal tiasa noél raray nyalira ku siku, mangga cobian. ",
,"Sabisana, buka atawa tutup panto ku siku atanapi ku taktak. ",
,Rorompok ,
,Wangsul ti luar ,
,Sateuacan tuang ,
,Tuluy wawasuh panangan nganggo sabun... ,
,"Pamungkas, ",
,Jagi kaséhatan! ,
,Jagi kaséhatan!,
,Sabun,
,Aos tips-tips lianna tina artikel-artikel di luhur ,
,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",
,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",
,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",
,Rujukan utama pikeun informasi médis : ,
