swh,kik,eng
Epuka Korona,Wĩtheme Kovid-19,Avoid Covid-19
,,
Timothy G. Kamau,,
Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 27.3.2020,,
﻿Advocacy and Alliance Building SIL Africa,,
"Nawa mikono yako mara nyingi ukitumia sabuni na maji, au uioshe kwa vyeuzi vilivyotengenezwa kwa kileo.",,
"Epuka kujishika macho, pua ama mdomo.",,
Jizuie mdomo wako na pua kwa kisugudi au tishu unapokohoa au kwenda chafya. Tupa tishu hiyo ipasavyo punde tu baada ya kuitumia.,,
"Kila mara, weka umbali usiopungua mita 2 kati yako na wengine. Epuka kufanya safari zisizokuwa muhimu na ukae mbali na umati mkubwa wa watu.",,
"Kaa nyumbani iwapo wewe ni mgonjwa. Ikiwa una joto mwilini, unakohoa au unapumua kwa shida, muone dakitari haraka iwezekanavyo.",,
Jaribu kupata habari zaidi juu ya yale yanayotokea juu ya ugonjwa wa Korona. Fuata ushauri unaotolewa na maafisa wa afya.,,
"Epuka Korona  Timothy G. Kamau  Epuka Korona Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 27.3.2020 ﻿Advocacy and Alliance Building SIL Africa    Nawa mikono yako mara nyingi ukitumia sabuni na maji, au uioshe kwa vyeuzi vilivyotengenezwa kwa kileo. Epuka kujishika macho, pua ama mdomo. Jizuie mdomo wako na pua kwa kisugudi au tishu unapokohoa au kwenda chafya. Tupa tishu hiyo ipasavyo punde tu baada ya kuitumia. Kila mara, weka umbali usiopungua mita 2 kati yako na wengine. Epuka kufanya safari zisizokuwa muhimu na ukae mbali na umati mkubwa wa watu. Kaa nyumbani iwapo wewe ni mgonjwa. Ikiwa una joto mwilini, unakohoa au unapumua kwa shida, muone dakitari haraka iwezekanavyo. Jaribu kupata habari zaidi juu ya yale yanayotokea juu ya ugonjwa wa Korona. Fuata ushauri unaotolewa na maafisa wa afya.  ",Wĩtheme Kovid-19    Wĩtheme Kovid-19             ,Avoid Covid-19    Avoid Covid-19             
