rus,swh,kik,eng
Остерегайтесь﻿Covid-19,Epuka Korona,Wĩtheme Kovid-19,Avoid Covid-19
,,,
"Иллюстрации: Ари и Элейн Витикайнен Информация была взята с веб-сайтов Всемирной Организации Здравоохранения, таких как https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public Версия 27.3.2020 ",,,
﻿Advocacy and Alliance Building SIL Africa SIL LEAD,,,
Дарья Давидовская,,,
"Регулярно мойте руки с мылом и водой, или очищайте их средством для рук на спиртовой основе.",,,"Wash your hands regularly with soap and water, or clean them with alcohol-based hand rub."
"Избегайте прикосновений к глазам, носу и рту.",,,"Avoid touching eyes, nose and mouth. "
"Прикрывайте рот и нос согнутым локтем или платком, когда вы кашляете или чихаете. Немедленно утилизируйте использованный платок.",,,Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose the used tissue immediately.
Сохраняйте дистанцию 2 метра между собой и другими. Избегайте ненужных поездок и держитесь подальше от больших групп людей.,,,Maintain a distance of 2 meters between yourself and others. Avoid unnecessary travel and stay away from large groups of people.
"Если вы плохо себя чувствуете, оставайтесь дома. Если у вас жар, кашель и затрудненное дыхание, сразу же обратитесь за медицинской помощью.",,,"Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early.  "
Будьте в курсе последних новостей и событий о COVID-19. Следуйте советам вашей медицинской организации.,,,Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.  
"Остерегайтесь﻿Covid-19    Остерегайтесь﻿Covid-19 Иллюстрации: Ари и Элейн Витикайнен Информация была взята с веб-сайтов Всемирной Организации Здравоохранения, таких как https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public Версия 27.3.2020  ﻿Advocacy and Alliance Building SIL Africa SIL LEAD Дарья Давидовская   Регулярно мойте руки с мылом и водой, или очищайте их средством для рук на спиртовой основе. Избегайте прикосновений к глазам, носу и рту. Прикрывайте рот и нос согнутым локтем или платком, когда вы кашляете или чихаете. Немедленно утилизируйте использованный платок. Сохраняйте дистанцию 2 метра между собой и другими. Избегайте ненужных поездок и держитесь подальше от больших групп людей. Если вы плохо себя чувствуете, оставайтесь дома. Если у вас жар, кашель и затрудненное дыхание, сразу же обратитесь за медицинской помощью. Будьте в курсе последних новостей и событий о COVID-19. Следуйте советам вашей медицинской организации.  ",Epuka Korona    Epuka Korona             ,Wĩtheme Kovid-19    Wĩtheme Kovid-19             ,"Avoid Covid-19    Avoid Covid-19      Wash your hands regularly with soap and water, or clean them with alcohol-based hand rub. Avoid touching eyes, nose and mouth.  Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose the used tissue immediately. Maintain a distance of 2 meters between yourself and others. Avoid unnecessary travel and stay away from large groups of people. Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early.   Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.    "
