fra,ngn,eng
Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,Ebwa ngwo me koʼro é nɛɛ mbɔʼ aŋwan dèʼ yɛ e ma zɔʼrɔ kpe KORONAVIRUS Kà COVID—19 ngɛ,What you need to know about the CORONAVIRUS or COVID-19
,,
,,Cameroon Association for Bible Translation and Literacy
,,The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home
,,"All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  CABTAL Contacts  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  P. O. Box: 16 550 Yaoundé, Cameroon"
,,
                                                  SOMMAIRE,Abwa yɛ a mwɔ efwɔ aŋwɛ̀ʼrɛ zɔnɔ ngɛ,                    SUMMARY
- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles,- Koronavirus - Abɔ̂ byɛ e me la ngɛ - Enɛ̂ ene aŋwan mombwo - Aŋu koronavirus ma zhiri ngɛ - Aŋu ngwo me né kɔʼ ekwa ngwɛ ngɛ - Ebwa é le mala aŋwan zɔnɔ bere awɛ  ,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words 
p.2 p.3 p.4 p.5 p.6 p.7 p.8,p.2 p.3 p.4 p.5 p.6 p.8,p.2 p.3 p.4 p.5 p.6 p.7   p.8
"Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.",Koronavirus yɛ e gɛrɛ ma zɔʼrɔ kpe  COVID-19 ngɛ na aŋwan fé. Â dye zɔ efwɔ abɛ Chaina efwɔ enji 31 efwɔ eta Zɛ̀mba efwɔ anɔm 2019. A yi le enɛ̂ na ezhwàʼ nɔ gɛrɛ me né le abɔ̂ dèʼ byɛ a me kama akwa ángɔ ngɛ e kudu. A yi sɛʼɛ efwɔ ebɛ akɛkɛ efwɔ ese. E ke shi nɛɛ aŋu aŋwan zɔnɔ a klada ngɛ bo.,"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known."
Personne âgée,Bɔ̂ tɛbɛ,Elderly person
Personne cardiaque ou souffrant de maladie,Ghô wɛ ma gwɔ̀rɔ aŋwan etáa ngɛ,Person with a heart condition or disease
