lts,jax,eng,ind
Olumbe lwa Korona,Tentang Virus Korona,About Coronavirus,Tentang Virus Corona
,,,
,,,
,Ado satu hal yang harus kau tau tentang caro virus Corona tu ,,
,NYEBAR,,
,Mulut ,,
,Idung,,
,Mato,,
,Masuk ke ,,
,Orang sehat ,,
,Orang sakit ,,
,Virus tu nyebar kalau tetesan aek ludah ni ,,
,Jago jarak. Kau jadi aman dari tetesan aek ludah kalau kau jago jarak duo meter.,,
,1,,
,"2m-0,5m",,
,Hatcyuu!!!,,
,"Jadi, kalau kau nengok orang batuk/bersin/sakit, kau biso: ",,
,"Kasi orang-orang tu masker. Jadi orang-orang tu biso bersin/batuk di dalam maskernyo. Jadi, orang-orang di sekitarnyo aman. ",,
,2,,
,Terimo kasih *hek* ,,
,ATAU,,
,Biso jadi orang ni dak sakit. Dio cuma jago dirinyo. ,,
,"Orang yang la tetular biso jadi dak nampak gejalonyo, tapi dio tetap biso nularin penyakitnyo. ",,
,"Secaro garis besak, lebih baek hindari rame-rame karno kau dak tau siapo be yang lagi sakit. ",,
,Alat makan ,,
,Pegangnan kereto ,,
,Tombol lift ,,
,Tisu ,,
,Gelas ,,
,Perangkat digital ,,
,Biso jugo di bagian luar masker ,,
,Pegangan tango ,,
,Mos komputer ,,
,pena ,,
,Pegangan pintu ,,
,tangannyo ,,
,"Tapi, kadang-kadang aek ludah orang sakit biso be nempel di...",,
,kau biso jadi sakit galo. ,,
,apo muko orang-orang yang kau sayang ,,
,Kocek-kocek mato ,,
,"Kalau kau dak sengajo nyentuh bendo-bendo tu, terus kau megang muko kau dewek, ",,
,"Satu-satunyo caro yang manjur untuk nyingkiri virus tu yo nyuci pake sabun, pemutih, apo alkohol. ",,
,Virus biso bertahan sampe duo puluh empat jam di atas satu bendo. ,,
,Sabun,,
,caro-caro pencegahannyo ni.,,
,"Karno tu, sebaeknyo kito ngikuti ",,
,Cuci pake sabun sampe sini.,,
,Sabun ,,
,Sikut tangan ,,
,"Jangan nyentuh muko kau (atau muko siapo be). Bilo perlu, cuci dulu tangan kau pake sabun.",,
,Kayak sambil nyanyi lagu “Happy Birthday” duo kali. ,,
,Di bawah kuku ,,
,Selamo duo puluh detik ,,
,antaro jari ,,
,Cuci punggung tangan ,,
,Macam mano caro nyuci tangan sampe bersih? ,,
,"Kalau dak sengajo nyentuh, langsung cuci tangan sampe bersih. ",,
,Jangan sentuh bagian luar masker. ,,
,Tetesan aek ludah ,,
,Bakteri biso beranak di bagian dalam masker kalau dipake kelewat lamo. ,,
,Langsung buang masker kalau la kotor dan jangan pake masker yang samo lebih dari satu ari. ,,
,Pake sendok sayur ,,
,Anak ,,
,Bapak ,,
,Mak ,,
,Pake handuk dewek-dewek. ,,
,"Jangan kongsian makanan, jangan pake alat, gelas apo handuk yang samo. ",,
,Cubolah… kau dak biso nyentuh muko kau pake siku dewek kan? ,,
,"Kalau biso, buka apo tutup pintu pake sikut apo bahu. ",,
,Rumah,,
,Abis dari tempat umum ,,
,Sebelum makan ,,
,Pake sabun tiap kali cuci tangan... ,,
,Terakhir ,,
,Jagolah kesehatan! ,,
,Baco caro-caro laen di atas ini! ,,
,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",,
,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",,
,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",,
,Acuan utamo untuk informasi kesehatan: ,,
