rus,eng
,Protect yourself from COVID-19 with PPE (Personal Protective Equipment) (Video version)
,
Дарья Давидовская,
"Эта книга основана на материалах серии обучающих видео, выпущенных SIM International. Они доступны по адресу https://bit.ly/church-response-covid19. Тренинг предназначен для руководителей церкви и добровольцев из числа мирян, особенно в условиях ограниченных медицинских ресурсов, отсутствия медицинских средств индивидуальной защиты и дефицита ресурсов. Тренинг, состоящий из четырех частей, направлен на то, чтобы дать церквям возможность участвовать в основанном на Евангелии ответе на физическое, эмоциональное и духовное воздействие COVID-19 в сообществах.  Медицинские работники SIM проверили и одобрили содержание этой версии на предмет точности. С любыми вопросами относительно использования оригинального материала обращайтесь в SIM International по адресу international.covidequip@sim.org.",
"Всем, кто посещает пациента с COVID-19 или ухаживает за ним дома, потребуются средства индивидуальной защиты или СИЗ. СИЗ можно изготавливать из обычных материалов, которые можно найти у вас дома или на рынке. Вам не нужен красивый белый или желтый костюм, если вы не находитесь в одной комнате с кем-то на аппарате искусственной вентиляции легких. Кто-то стоит и смотрит в камеру в профессиональном костюме СИЗ с респиратором. Кто-то стоит напротив камеры в средствах индивидуальной защиты и респираторе. Это обведено в красный круг и зачеркнуто. ",
"Для адекватной защиты вам потребуются: · Шапка или шапочка для душа · Защитная маска или маска и очки · Халат, закрывающий туловище, руки и ноги · Перчатки · Ботинки (только если вы работаете с мочой или калом) ",
Двумя руками можно скрепить поролон степлером и сделать маску для лица.,
"Есть много способов сделать СИЗ из обычных повседневных предметов. На картинке выше кто-то создает защитную маску из полиэтиленовой пленки, поролона, резинки и степлера.  Давайте познакомимся с некоторыми людьми, которые создали свои собственные средства индивидуальной защиты из обычных предметов домашнего обихода.",
"На картинке изображены: распылитель, губки и перчатки.",
"Вы можете приготовить простой отбеливатель, смешав 4 чайные ложки полноценного отбеливателя и 1 литр воды. Перелейте раствор в распылитель или в бутылку. Полученный раствор отбеливателя должен сильно пахнуть отбеливателем. Обязательно используйте отбеливатель, не разбавленный продавцом. Кроме того, разбавленные растворы отбеливателя эффективны только в течение одной недели. Сделайте свежий раствор, если он старше одной недели. Если у вас есть другое дезинфицирующее средство, например Dettol, вы можете использовать его.",
"Важно правильно снять СИЗ после посещения кого-то, кто болен или потенциально болен COVID-19. В противном случае вы можете случайно заразиться. Вот правильная процедура для безопасного снятия СИЗ. Для этого вам понадобится как минимум два человека. Перед тем как начать, разложите полиэтиленовые пакеты или ведра для каждого человека для сбора СИЗ.",
"Ссылки на рекомендованые материалы: •Africa CDC - Простые инструкции по использованию маски для лица (на нескольких языках) https://africacdc.org/download/simple-instructions-on-how-not-to-use-a-face-mask/  • Africa CDC - Простые инструкции о том, как НЕ использовать маски для лица (на нескольких языках) https://africacdc.org/download/simple-instructions-on-how-to-use-a-face-mask/  • Глобальная сеть CHE, уроки по коронавирусу, материалы и ресурсы книг с картинками, 2020 https://www.chenetwork.org/coronavirus/  • Всемирный евангелический альянс (WEA), «Забота об уязвимых людях во время COVID-19 (подсказки)», 2020 г. https://www.chenetwork.org/coronavirus/  • Всемирный евангелический альянс (WEA), «Забота о члене семьи с COVID-19 - становление сопутствующей церковью», 2020 https://covid19.worldea.org/wp-content/uploads/2020/04/Caring-for-a-Family-Member-with-Covid-19-2.pdf",
"• Всемирная организация здравоохранения (ВОЗ), «Уход на дому для пациентов с COVID-19 с легкими симптомами и ведение их контактов», 2020 г. https://www.who.int/publications/i/item/home-care-for-patients-with-suspected-novel-coronavirus-(ncov)-infection-presenting-with-mild-symptoms-and-management-of-contacts  World Vision International, «COVID-19: Руководство для религиозных сообществ и мест поклонения», 2020 г. https://www.wvi.org/publications/faithresponsetocovid19",
