gbj,eng
COVID - 19 Prevention Teaching Tool (church version),କରନା ମର୍‍ଡି
,
COVID-19 PANDEMIC ,
,COVID - 19 Prevention Teaching Tool (church version) 
,"Thanks to all the contributors in the internet and the friends who have contributed especially for my doctor friends who have given their input. Medical Technical advise: Dr. Viju John, EHA Editor Ms. Eleanor Mcalpine, SIL Compiled and written by Herald Rajan, SIL 15 April 2020 Version 1.01  Disclaimer: The content of this booklet, such as graphics, images, text and all other materials, is provided for reference and educational purposes only. The content is not meant to be complete or exhaustive or to be applicable to any specific individual's medical condition."
,https://www.who.int/ https://www.cdc.gov/ https://www.mygov.in/covid-19 https://www.unicef.org/coronavirus/how-teachers-can-talk-children-about-coronavirus-disease-covid-19
,"                                                                Instructionsfor facilitators 1. Make sure to listen to group members’ concerns and answer their questions. 2. Emphasize that members can do a lot to keep themselves and others safe. For example, introduce the concept of social distancing, and focus on good health behaviours, such as covering coughs and sneezes with the elbow and washing hands. 3. Encourage members to confront and prevent stigma. Discuss the reactions they may experience around discrimination, and explain that these are normal reactions in emergency situations. Encourage them to express and communicate their feelings, but also explain that fear and stigma make a difficult situation worse. Words matter, and using language that perpetuates existing stereotypes can drive people away from taking the actions they need to protect themselves.  4. Dicuss after reading the booklet: Read some do’s and don’ts for how to talk about the coronavirus. 5. Remind members that they can share healthy behaviours with their families. Be a leader in keeping themsleves, their family, their village and their community healthy. "
ଏ ରଗ୍‍ନୁ ବିସୟ୍‍ରେ ବେସି ବୁତଙ୍ଗ୍‍ ଲାୟ୍‍  ଦର୍‍କାର୍‍ ଉରା।,
କରନା ମର୍‍ଡି ଡିଡିକ୍‍ନୁ ରଗ୍‍ ଚିନ୍ ଦେସ୍ ମିୟ’ ବିନ୍‍ବିନ୍ ଦେସ୍‍ ଉଜିନୁ କେତ୍‍ଟା ଲକ୍‍ନୁ ଡିକ୍‍ ଭାରତ୍‍ ଦେସ୍‍ବ’ କରନା ମର୍‍ଡି ପିଙ୍ଗି । ମାୟ୍‍ନେନୁ ବୁଡମ୍ ମିସେୟଗୁନୁ ଭାରତ୍‍ନୁ ଲକ୍‍ନେନୁ ଡିକ୍ ଗୁଲାୟ୍‍ କୁରୁଙ୍ଗ୍ ନାୟ୍‍ନୁ ଦେସ୍‍ନୁ ଲକ୍‍ନେନଲାୟ୍‌ସା ଏ ମର୍‍ଡି ଡେଙ୍ଗୁନି । ଏ କରନା ମର୍‍ଡିବ’ ପାକାପାକି ମିର’ ଲାକ୍‍ ଡିକ୍‍ ଗାଟିୟ ଲକ୍‍ ଗୟ୍‍ଗୁଉଜିନେନ୍‍ ମାତର୍ ନାୟ୍ ଜାଗ୍‍ରତ୍‍ରେ ସପା ସୁତର୍‍  ଡୁଗୁନା ଏ କରନା ମର୍‍ଡି  ଡିକ୍‍ ରକିଆ ପାଏୟ୍‍  ଡେଲେଙ୍ଗ୍‌ ।,"A pandemic disease caused by Corona virus started in China and spread to other countrires from there.  It came to India from these infected people who came to India from other countires, later they brought this disease unknowingly and spread it to others. Thus, Corona spread rapidly through infected people in different parts of India.Government of India is taking all necessary steps to face the challenge and threat posed by the growing pandemic of COVID-19 the Corona Virus with active support of the people of India. More than a lakh died around the world  due to COVID-19. But, If we are careful and keep hygienic habits, we can stay away from this disease and save others from infection."
କରନା ମର୍‍ଡି  ମର୍‍ପିପିଙ୍ଗ୍ ପୁଲାୟ୍‍ ନାୟ୍‍ ମାଙ୍ଗ୍‍ଟା ଡେଡେମ୍ ଡୁତୁ ?,What do we need to do to protect ourselves from COVID-19?
