fra,baw,eng
Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,Mɨnwe mə́ŋə́ má wu zé mbəʼə CORONAVIROS kə COVID-19,What you need to know about the CORONAVIRUS or COVID-19
,,
,Cameroon Association for Bible Translation and Literacy,Cameroon Association for Bible Translation and Literacy
,,The information in this booklet is taken from the World Health Organization (WHO) website. https://www.who.int/home
,,"All pictures belong to CABTAL, except p.2 belongs to Pixabay p.6 (butcher) and p.7 (crowd) belong to Wikimedia Commons p.7 (people watching TV) belongs to United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
,,
                                                  SOMMAIRE,MƗTU MƗ NWE MƏŊƏ MƗ JWI FƏ ŊWAʼLƗ WI,                    SUMMARY
- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles,- Coronaviros - Bɨgɨ bə́gə́ ma agho wo ayaŋshɨ ɨnkwen fə anu búgú - Ɨliishɨ agho wo - Ndum gwa ma agho wo alemnə wu - Ndum gwa ma wu toʼnɨ nɨ nu yugu wo - Anwe yə́gə́ wu ghə ma wu mbiʼi agho wo,- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words 
p.2 p.3 p.4 p.5 p.6 p.7 p.8,p.2  p.3 p.4 p.5  p.6  p.8 ,p.2 p.3 p.4 p.5 p.6 p.7   p.8
"Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue.","Coronaviros  Coronaviros,  ma bɨ bənɨ ɨtweŋə nɨ COVID-19 lə́gə́ agho fi. Amí ɨkômɨ lə́gə́ fə China fə ɨjwi mɨgham mɨntye nɨ nchu moʼo fə sháŋ ncho-alum fə alum gwe ma agə chəgə la (2019). Alə́gə́ ɨyə gii nɨ ɨliishɨ ma gə ɨzhwi bɨgɨ bənendɨ. Alə́gə́ mbeʼ ndaŋ gii fə ɨtum nəndɨ fə agii. Bɨ lə́gə́ mbidɨ ndum gwa ma agho yii alem wu ze.","Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known."
Personne âgée,Bɨdikaŋ bɨ bɨgɨ,Elderly person
Personne cardiaque ou souffrant de maladie,Bɨgɨ bə́gə́ ma bi gho agho ɨtəm,Person with a heart condition or disease
