spa,zgh,eng
Sobre el Coronavirus,Γef Avirus n Kuruna,About Coronavirus
,,
,Dis tɣawsa IĞĞET a bac at-takzed ɣef mammek Avirus n kuruna,There's only ONE thing ﻿you need to understand about how a coronavirus
,ITTCENTEL,SPREADS
,Imi nnem/k,Mouth
,Tinzert nnem/k,Nose
,Tiṭṭawin nnem/k,Eyes
,Ittawwaṭ g,Get into your
,Bnadem d Aṣbiḥ,Healthy Person
,Bnadem d Amaṭun,Sick Person
,Avirus ittcentel lemmi yella g tnuzzut(Tikuffa),The virus spreads when ﻿these droplets
,Ğğ jar-am/k ag n 2 miter,Keep your distance.﻿2m will keep you safe from large droplets.
,1,1
,2 miter,2m
,Attsu !,Achoo!
,Lemmi ad tteẓr-d iğğen/t ittban-d fellas akutti/anuzzi/d maṭṭun ttnejjm-d :,So if you see someone who is visibly coughing/sneezing/sick you can choose to:
,Uc-as a Tamaskt. T/inejjem sis at/ykutt ɣen at/yenzzu dis d wel aṭurri iṭnin ɣer dis-nnes,Give them a mask.﻿They can cough or sneeze in it and protects everyone else nearby.
,2,2
,Tanemmirt a *tiḥiṭṭa*,Thank you﻿*sniffles*
,ΓEN,"OR,"
,"Waqila nettat ca ttmaṭunt, ɣer terra labl f yiman nnes","Maybe she's not sick, just protecting herself"
,"Iwdan lli uṭṭnen wel ittban-d dis aṭṭan, welyuc ttsawaṭen gwaṭṭan","People who are infected can show no symptoms, but are still﻿infectious"
,"D rni fellas, taktit tezzɛam  ac seg agejluṭ (guda n iwdan), maɣer wel tessn-d mant dis t/yella t/yuṭen.","And in general, it's a good idea to avoid crowds, because you don't know who might be sick."
,Tiqecqac,Chopsticks
,Bnadem d Aṣbiḥ,Healthy person
,Tiddriwin n Cmendfir,Train straps
,Taṭbilt n Usensir,Lift buttons
,Lklineks,Tissues
,Ṭṭwasi (Aqbuc),Cups
,Allal Umḍin,Digital devices
,D rrni I lli yella berra n tamaskt nnem/k,& even on the outside of your face mask
,Tidderiwin,Stair bannisters
,Tafekrunt (Aselkim),Mouse
,Iɣunab,Pens
,Fus n tawwurt,Door knobs
,Ifassen nnes,Their hands
,"Dis mak, ittṣara d Amaḍun s tikufsa nnes tassnt-d f tiɣawsiwin…","However, sometimes a sick person's saliva can get on other things…"
,Waqil ad ttaṭnum ukkul nnwen\t,you might all fall sick.
,ɣen f udem n tayri nnem/k,or your loved one's face
,Aḥukki n tiṭṭawin,rub eyes
,"iṣar d ttmuss-d seg tiɣawsiwin tidhat saht, d sdeffr-as ttmused udem nnem/k,","And if you do touch any of these things by accident, and then touch your face,"
,"D tɣawsa  iğğet tnejjem aten-tesfeḍ s usired nnes s ṣṣabun, tasemellalt, ɣen iɣisem.","and the only effective way to get rid of them is to wash them off with soap, bleach, or alcohol."
,Virus inejjem itteqqima yella f tɣawsa  ugar timirt,"Viruses can last for quite a few hours on objects,"
,Ṣṣabun,soap
,Irray n Lbal,precautions
,D ayed i matta d tasbiḥt taḍfrawt tad,Which is why it is also good to follow these
,Ssird s ṣṣabun al tiɣmert,wash with soap up to here
,ṣṣabun,soap
,tiɣmert,elbow
,"Ttmusset-c udem nnem/k (ɣen udem ḥad iṭen) wel dis-c mammek, ssird-t ifassen nnem/k s ṣṣabun s Taneṭṭuft.","Do not touch your face. (Or anyone else's face.) If you have to, wash your hands with soap thoroughly first."
,Gget n luɣed i yinig “Tafaska n ulul “ sent tikwal,Enough time to sing “Happy Birthday” twice
,S addu iccaren,under the nails
,Ag 20 tisinin,for 20 seconds
,Jar iṭuṭan,between the fingers
,Ssird s denneg fus nnem/k,wash the back of your hands
,Matta nettat Taneṭṭuft ?,What is thoroughly?
,Wel ttqeqet-c kan iṣar ttmuss-tt. S deffer ssird ifassen nnem/k s ṣṣabun,"If you did, don't worry. Just wash your hands with soap after."
,"Rrni fellas, ukan dis mammek wel at-tmussd tamaskt s fus.","Also, don't touch the outside of the mask if you can."
,tanuzzut,droplets
,Tabaktirit ttekker jaj g tamaskt nnem/k lemmi at-tirṭd sis guda.,*Bacteria grows on the insides of your mask if you wear them too long
,Zzref-tt kull tamaskt lemmi at-semdid sis. Wel at-tirṭd ugar iğğewass !,Throw away masks once they feel gross. Don't wear them for more than a day!
,Ig s uɣenjay,Use a serving spoon
,Aneɛnuc,Baby
,Baba,Daddy
,Yemma,Mommy
