eng,pnz,fra
What you need to know about the CORONAVIRUS or COVID-19,Hɛ̰ ka ɓel ɓá njuku ké tú sé túl záŋmá CORONAVIRUS malé COVID-19,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19
,,
,Association Camerounaise pour la Traduction de la Bible et l'Alphabétisation,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
,,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home
,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
,,
                    SUMMARY,                    GAŊ ƁAY TÚLKÉ ,                                                  SOMMAIRE
- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ,- Coronavirus - Njuku ká la nyá záŋmáké yáy - Ŋgána a záŋmáké - Ŋgbóró ka záŋmá coronavirus tá njuku - Â̧yhi̧ njuku e niŋa  ɓay a kóró mûn - Â̰yhi̧ ɓá hɛ̰niŋa ká záŋmáké mí tá njukuy ? - Ten taŋa a tɛ̰rɛ̰ɓay a gbɔ́rɔ́kéri ,- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
p.2 p.3 p.4 p.5 p.6 p.7   p.8,p.2 p.3 p.4 p.5 p.6  p.8 p.9,p.2 p.3 p.4 p.5 p.6 p.7 p.8
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Coronavirus  Coronavirus, kú ɗi nɛ̰ pí ɓá COVID-19, ɓá gûnkáy záŋmá a ŋgɛŋké. Ɗambel laŋ ɓay a mɛ̰̌ɛ ɓá a tisiri a Shine ká ɓil nâm 31 féw kawkála  ka mbímbɔ̂m 2019.  Záŋmáké niŋ ɓá baŋa zâ̧a mbí, dǎy a kaw i hûl, ká ké mí tâm sé mbel. Záŋmáké wal má pûri ɓá ŋgɛnáké lá tisiri nɛ̰ tó. Sɛ̰w a záŋmáké pan a tú yá ɓay.","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
Elderly person,kpɔ́ꞌɔ́rɔri ,Personne âgée
Person with a heart condition or disease,"njuku záŋmá law, malé njuku záŋmá ",Personne cardiaque ou souffrant de maladie
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Njukuri ká záŋmáké lá tá kuriri yáy  Njuku ká mbímbɔ̂m ŋgɛ̰ dáy, ra̰ gûn a léléri, záŋmáké lá tá kuriri ya. Kpɔ́ꞌɔ́rɔri ra̰ njukuri ká erú ka záŋmá (ɓá baŋa záŋmá nyína, záŋmá hɛ̰rináké, záŋmá law, záŋmá sêm ka ŋgú ŋgá mamba ká ɓil nɛ̰w), njuku nɔ́ri̧ ɓá njukuri ká lá nyá záŋmáké yáy. ","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
Fever Fatigue,- Gélvɔ́ná  - Mûn ta̧na,- Fièvre - Fatigue
Dry cough Muscle aches and pains,- Hɛla  - Séna háymûn,- Toux sèche - Douleurs musculaires
"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Ŋgána a záŋmáké malé hɛ̰ ká tɔꞌɔ záŋmáké  Ŋgána a záŋmá coronavirus ɛŋ ɓá baŋa a zâ̧a mbí : gélvɔ́ná, hɛla, séna a háymûn, mûn ta̧na. Njuku záŋmáké a ha̧na̧ri lá ɓá mûn séna, hɔ̰́ꞌɔ̰ sɔ̰na, hɔ̰́ꞌɔ̰ ká ú ɓá zâ̧a mbí, séna a ŋgbóró kɔ́ŋ malé zɔ́ꞌɔ. Njuku a fékéri erú ká záŋmáké, a zi lá hɛ̰nɔ́ri̧ yá tó a kaw ɓá belaké. Ŋgɛ̰ná a njukuri ziŋ ngɛrɛ taŋ nyá ndam. ","Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier."
Person with a cough,Njuku ká kaw hɛla,Personne qui tousse
"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Ŋgbóró ka záŋmá coronavirus tá njuku Záŋmá COVID-19 tá njuku ká ŋgbóró a njuku ká erú ká záŋmáké. Gelká njuku ká erú ká záŋmáké hɛl malé sɛŋdisɔ́ lé, gûn sâ̰mri tɛ̰ tálá ŋgbóró nzɛꞌɛ malé hɔ̰́ꞌɛ̰. Njuku ká kaw gbaŋɛ ká a nyí, ké nyá sé ɓélé, záŋmá coronaviruské a golo e tá nɛ̰. Njuku ká ɗa gel ká sâ̰mké to kɔ̰́rṵ́, ká a ɗa nûn, hɔ̰́ꞌɔ malé nzɛꞌɛy e nyá záŋmáké. ","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée."
How to protect yourself,Â̧yhi̧ njuku e niŋa  ɓay a koro mûn nɛ̰,Comment se protéger ?
"1. Avoid touching eyes, nose, mouth.","1. I ɗa nûn, hɔ̰́ꞌɔ ra̰ nzaʼa ka ndɔ̂ꞌɔ ya. ","1. Eviter de se toucher les yeux, le nez, la bouche."
2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.,2. I túrú ndɔ̂ꞌɔ ká mbí ra̰ mbapɔ́ꞌɔ. Falké i taꞌa ká gari a taŋáké.,2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.
3. Cough and sneeze into the crook of your arm. ,3. I hɛl ká sɛŋ ká ɓil kû-ndɔ̂ꞌɔ.,3. Tousser et éternuer dans le creux de son bras.
4. Avoid eating raw meat and touching live animals.,"4. Ká sɔ̰́ háy a ndisɛꞌɛ yá, ká ɗa hɛ̰ hólarí ka ndɔ̂ꞌɔ ya.",4. Eviter de manger de la viande crue et de toucher des animaux vivants.
5. Keep at least one meter away from a person who is cou- ghing or sneezing. ,5. Ew ɓa ɗináké ká gbaŋ a njuku ká kaw hɛla malé sɛŋdisó.,5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.
6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.,6. Nâm njuku ká ndɔ̂ʼɔ yá. Nâm njuku ká nzaꞌa malé ká gbaŋ ndɔ̂ʼɔ mbɛŋ. ,6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.
7. Avoid gatherings. ,7. Ma̧ra̧ kaw gel a mbêwké ɓá ŋgɛnáke yá.,7. Eviter les rassemblements.
8. Restrict movement.,8. Ha̧ha̧ra ɓá ŋgɛnáké yá. ,8. Limiter ses déplacements.
9. Keep informed and verify the source of information.,"9. Kaw ɗɛŋ ɓay a láɓay sé túl záŋmáké, a i ɛ sɛ̧w ɓayké ɓá belaké.",9. Se tenir informé et vérifier la source de ses informations.
What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:,"Â̧yhḭ ɓá hɛ̰̰niŋa ká záŋmá mí tá njukuy ?  Gelká i kó ŋgána a záŋmáké ka mûn a wǎy: - I kaw gbaŋ a njukuri yá. - I kaw ɔ ɓil vûn. - I ɗi 1510 a i lá, a i tɔ́ŋ hɛ̰ ká gaŋnjuku hi̧ nzáꞌagoy (dɔꞌɔta) e sá hḭ wǎyri. Numɔ́rɔ́ a fékéri:",Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :
699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979 ,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761 ,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
"To date, there is no cure for COVID-19, but authorities are continuing research to find a suitable treatment. Everyone must be responsible and take the right steps to protect themselves and those around them.","Ka̧ sénɛ̰, nzáꞌagɔy, malé ndam a ha̰na zi ti ɓay a ŋgɛrɛ záŋmá COVID-19 dǎy gaŋnjuku pûri kaw ɛ ŋgbóróké ɓay a ziŋ nzáꞌagɔy, malé ndamké.  Njuku tó, ké tɔꞌɔ kawa a belaké, a ké ŋgbá mɔ́nɛ̰ ɓá belaké ɓay a koro tólé ra̰ ɓay a koro njuku ka gbaŋ mɔ́nɛ̰ kɔ.","A ce jour, il n'existe aucun médicament capable de guérir du COVID-19 mais les autorités continuent les recherches pour trouver un traitement adapté. Chacun doit être responsable et adopter les bons gestes pour se protéger et protéger son entourage."
"Definition of some difficult words  Asthma: chronic lung disorder Contamination: infection Diabetes: disease that occurs when the body can't use glucose normally Flu: cough, influenza Infected: affected, touched Infection: disease Instructions: direction, information Patient: person under health care Pre-existing conditions: long-term disease Runny nose: excess nasal drainage Symptoms: signs of illness Treatment: cure, medication Virus: disease agent Vulnerable: defenseless, exposed","Taŋaɓay a tɛ̰rɛ̰ɓay â̧yri ká ŋgbɔrɔ mambáy  Asthme : Záŋmá nyína a gbɔ́rɔ́ké Consignes : Hi̧ nzaꞌa, hi̧ ŋgbóró Diabète : Záŋmá a hɛ̰ a rináké ká ŋgɛ̰ ka ɓil sêm Ecoulement nasal : Hɔ̰́ꞌɔ ká ú ɓá zâ̰a Etre contaminé : Záŋmá ká tá njuku Grippe : Záŋmá, zâ̰a mbí Hypertension : Záŋmá sêm ka ŋgu ŋga mamba ka ɓil nɛ̰w, záŋmá hɛ́rɛ Infecté : Záŋmá ká tá njuku  Infection : Záŋmá, Táhɛ̰ Patient : Njuku záŋmá Symptômes : Ŋgána a záŋmá, Hɛ̰ ká tɔꞌɔ záŋmá Traitement : Nzaꞌagoy, ndam Virus : Gunkáy záŋmá Vulnérable : Ká tí ká ŋgɛrɛ ya","Définition des mots difficiles  Asthme : maladie respiratoire chronique Consignes : ordres, recommandations Diabète : maladie qui se caractérise par un taux de sucre trop élevé dans le sang Ecoulement nasal : avoir le nez qui coule Etre contaminé : être atteint par la maladie Grippe : maladie, rhume Hypertension : augmentation anormale de la pression du sang sur la paroi des artères Infecté : atteint par la maladie Infection : maladie, épidémie Patient : malade Persistant : permanent, constant, continu Susceptible : capable, sensible Symptômes : signes, marques de la maladie Traitement : remède, médicaments Virus : agent causant la maladie Vulnérable : faible, à risque"
,,"Hɛ̰ ka ɓel ɓá njuku ké tú sé túl záŋmá CORONAVIRUS malé  COVID-19 © CABTAL, 2020"
