lts,eng,lti,ind
Olumbe lwa Korona,About Coronavirus,Kapansa Korona Virusdia,Tentang Virus Corona
,,,
,,,
,,"Ali, Nara, musti omwanarti Korondia nlewarla rie. ",
,,Nuarmu ,
,,Iranmu,
,,Matmu ,
,,Nla ,
,,Tamak’kassre,
,,Mak’kassre ,
,,Kapansa korondia nlewar lola mak’kasre aparne.,
,,Yena idame nwakrani ido. Otamreran nena kapansa Korondia kalo tambwakrani makkassre meter woruo. ,
,,1,
,,"2m - 0,5 m",
,,Heeeetsse! ,
,,"Emmeka omtoli rie irassorna, iranursu, irpopra, ertaede rkasra: ",
,,"Mela masker la mak’kassre. Emmeka, iranursu/irasornde, ira liatne, nurasni, nane aparne rtuin la maske ryarampo totpo yena nena rie. ",
,,2,
,,"Trima kasih ali, nara… ",
,,ERTAE DE ,
,,"Pwata dedi de, mungkin tangkasaro. Mekmeka ensia kelelledpo yena nreran nena kapanse.",
,,"Ria makodi Korondide, dumde tarkasra, tarasorna, ne tarpoparo. Mene irodi kapanse. ",
,,"Weanne mekde, yena mblya nyawoka nyaleu. Unnemeka itapninu sei ngkasra ne sei ta.",
,,"Lari, kani, snyuri ",
,,Tnyurunweni la kereta tade motor ,
,,La tombol lif ,
,,Tisu ,
,,klasi ,
,,Laptop nora Ha’pe ,
,,Masker ulatni ,
,,Tnyurunweni la retne ,
,,Maus leptop ,
,,Pelpe’ene ,
,,Pworse ,
,,Ira limne ,
,,Makasre ira nurasni nor aparni bisa ntampiaspo nel’la:,
,,Mimnyomwou bisa la mkyasaro. ,
,,Ertae de mkyakla ria makdenlola mia unne. ,
,,Mikudi matmi ,
,,"Emmeka mipninu ne mkyakla samek-meka hora, epo mkaykla mia wo’one,",
,,"Totpo virus enmollu, weanne mekla itwuri ita limne nora Sabnu, ertae de alkohol. ",
,,"Kapansa Korondia ndenla ora ai, watu,plastik, besi, nora sameke de ja’ame werrua wa’atto, lir Malay nwene 24 jam. ",
,,Sabnu,
,,Itsi emmede totpo yena itreran nena kapansa Korondia ,
,,Mimbyuri nor sabnu meknene ndawar ma dedi ne.,
,,Sik-siku ,
,,"Yena mkyakla mia woone (ertaede duma irawo’one).  Emmeka tamtyaan nene de, mimbyuri limmi (nora wo’omi) nora sabnu ",
,,Emmeka bjasnyara “Selamat Ulang Tahun” reene woruo ,
,,Sik-sikmi n’naine ,
,,Kir-kira detike werruo. ,
,,Ukarmi l’letanni ,
,,Mbyuri mia l’loamne ,
,,Itsie emmede totpo itwurpyeli kapanse la ita loamni na? ,
,,"Emmeka mkyaklae, musti miwanu mia limne nora sabnu. ",
,,Yenmem’memna mkyakla Masker tukarne. ,
,,"N’nursu, S’sorne ira ananne ",
,,Kapanse side nlewarlola masker maka rpaki de nkrirriato. ,
,,Mpyaali masker makkupi lao. Yena mpyaki masker nlewta lere ido. ,
,,Snuri hai rodi rpa’asi sayur,
,,Kok’koi ,
,,Papa,
,,Mama,
,,Mpyaki handukke m’mes m’meso,
,,"Yena mimpyaki snuri, kani, klasi, nora handuk ida mbrerreawo. ",
,,Sembisa mnyodi sik-sikmi msyeikla mia wo’one.,
,,"Kalo bisa de, msyari pworse nora msyolke de mnyodi mia siksiknu ertae de mia wawainne.",
,,Rume,
,,Nanne mnjello plyorne po angkimme mnyayo ,
,,Pa’ase mbjene mi’ina ,
,,Mipe’ela miwanu mia limne nor Sabnu. ,
,,"Terahir de, ",
,,Mimsyia kalelledpo yena mkyasaro!,
,,Mblyeesa puka hairdia. ,
,,"""This animation shows how far your sneeze can actually travel"" by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",
,,"""The Wuhan Virus: How to stay safe"", by Laurie Garrett, in Foreign Policy, Report. (Jan25, 2020)",
,,"""How to avoid the coronavirus? Wash your hands"", Elizabeth Rosenthal, in New York Times, Opinion. (Jan 28, 2020)",
,,"Emmeka mimbyene mblyeas de, bisa la mlyesa puka dedi ne: ",
,,"Keterangan tambahan: Tindakan pencegahan dalam bentuk komik ini sangat efektif untuk mencegah penularan penyakit umum lainnya, seperti flu dan pilek, dan harus diterapkan dalam kehidupan sehari-hari, bahkan ketika tidak ada wabah. Referensi: lnformasi dalam komik ini dibuat berdasarkan pemahaman COVID-19 hingga 28 Februari 2020, dan sebagian besar diambil dari tiga referensi ini. https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips. htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/   https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Informasi Tambahan Komik dalam bentuk PDF dapat diunduh di sini:  https://gumroad.com/weimankowart Pedoman Menyebarkan Komik Komik ini dapat dibagikan secara gratis melalui media daring, atau melalui Whatsapp dan Telegram, dan dapat diunduh secara gratis untuk dicetak dalam bentuk poster untuk penggunaan pribadi atau sebagai materi edukasi di rumah, sekolah, dan tempat kerja.. Saat membagikan komik ini, ingat 3 hal berikut:  1) Dilarang mengedit gambar komik yang akan dibagikan.  2) Komik ini tidak dapat diperjualbelikan.  3) Jika dibagikan di media sosial FB, cantumkan kredit pengarang dengan menyebut @weimankowart, di IG dengan menyebut @weimankow (IG), atau mencantumkan tautan ke instagram.com/weimankow  Untuk penggunaan lainnya, silakan hubungi: comicsforgood@gmail.com",
,,,Diterjemahkan dalam Bahasa Leti oleh Renhard Saupia
,,,"Versi bahasa Inggris dibuat oleh Paul Frank (www. sil-lead.org), versi Bahasa Indonesia oleh Nazra Lutfiana (Unicef Indonesia), Penerjemahan dalam beberapa bahasa daerah : www.suluh.org"
,,,"Created by Weiman Kow, instagram: weimankow"
