qub,spa,eng
¿Imataj Coronavirus?,¿ Que es Coronavirus?,Coronavirus
,,
,,
Chay gueshya imano jogukushantapis tantiyakuy,,
shimikiman,,
sengaykiman,,
ñawikiman,,
sänu runa,,
gueshyaykaj runa,,
Chay gueshya jogucun gueshyaycajpa lausan ichicllapis chayashuptiqui.,,
Karullaman witikuy. Togaynin mana chayashunaykipaj ishkay metruchöna kankiman.,,
"Juc runa gueshyaykajta, gosuykajta u wishgaykajta rikar kayno rurankiman:",,
Shimi chapakunata goy. Chaura chay runaga gosur y wishgar jukta mana joguchinganachu.,,
Kaynöpis rurankiman,,
Capas payga gueshya jogunanta mana munar chapakuykan.,,
Wakinga gueshyaykashan mana musyakanchu. Ichanga gueshyata joguchishunqui.,,
Chaymi ama aywashunchu achka runakuna kaykashanman. Mana musyanchichu maygan gueshyaycashanta.,,
matikunaman kashpikunaman,,
sänu runakunaman,,
charikuna kösakunaman,,
botonkunaman,,
mandilkuman,,
"       celularman,        computadoraman,",,
shimita chapakuna jananmanpis chayanmanmi.,,
barandakuman,,
mouse nishanman,,
lapikerukunaman,,
charikunaman ,,
makiman,,
Aybësi gueshyaykaj runapa lausan chayanman kaykunaman:,,
llapanmi gueshyanman.,,
familiyaykita yatar,,
ñawikita yataptiki,,
Chay kösakunta mana musyaypa yatarkur shimikita yataptiki...,,
Chay gueshyataga wañuchinki jabunwan mayllar u alcohol nishanwan kupakur.,,
Chay gueshyaga achka hörami kösakuna janancho kawan.,,
kösata ruray.,,
Mana jogushunaykipaj kay,,
jabunwan mayllakuy.,,
jabon,,
kukushnikitapis,,
"Käraykita ama yataychu, ni jukpatapis. Yatakuyta munarga sumajraj makikita mayllakuy.",,
kantapallapa may-öra makinchita mayllashun.,,
shillutapis sumaj mayllashun,,
dëdu kallashkunatapis sumaj kupashun.,,
maki guepanta mayllashun,,
¿Imanötaj makinchita sumaj mayllakushun?,,
Yatar-imarga makikita sumaj mayllakuy.,,
Shimikita chapashayki janantaga ama yataychu.,,
Achka junaj chayllata charaptikiga chay chapakuna gueshyata ruriman yaykuchinmanmi.,,
Shimikita chapakushayki ganra kaptinnaga basüraman jitariy. Juc junajllami üsankiman.,,
Garanaykipaj juc kucharon kachun.,,
Kada ünuykipa kachun toallayki.,,
"Jukwan ama mañanakuychu cucharata, pusilluta. nï toallatapis.",,
Kukushnikiwanga manami käraykita yatayta kamäpakunkichu may-jina munarpis.,,
Punkuta u ventanata kichay makiwan mana yatayllapa.,,
wasi,,
