eng,nla,fra
What you need to know about the CORONAVIRUS or COVID-19,Ə zêu yi pé ghwǒ lə̂ ńjí lə̂ lə̂ ghou yi pə́ fûŋ ńgó CORONAVIRUS káa ńgó COVID-19,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19
,,
,Association Camerounaise pour la traduction de la Bible et lʼAlphabetisation,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation
,,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home
,,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun"
,,
                    SUMMARY,                   LƏTÛ MƏNO ,                                                  SOMMAIRE
- Coronavirus  - Vulnerable people - Symptoms - Transmission of coronavirus - How to protect yourself - What to do in case of contamination? - Definition of some difficult words ,-   Ghou yi pə́ fûŋ ńgó Corónavirus -   Ŋuu yi a ghwǒ ghou -   Mbə̂u  yi pə́ laghʼ njî ghiʼ  ghou ghʉ -   Mbə̂u  yi ghou zêi  leitə mboŋə́ ghou ŋuu -   Mbə̂u  yi mboʼ pə́ laghʼ mbáa mbəʉ -   Zə̂u  yi mboʼ pə́ ghʉ mpfu yi ghou ghǒu ŋuu -   Nkeʼtə́ mənyôghʼ ŋwaʼa,- Coronavirus - Personnes vulnérables - Symptômes - Transmission du coronavirus - Comment se protéger? - Que faire en cas de contamination? - Définition des mots difficiles
p.2 p.3 p.4 p.5 p.6 p.7   p.8,p. 2 p. 3 p. 4 p. 5 p. 6  p. 8 p. 9,p.2 p.3 p.4 p.5 p.6 p.7 p.8
"Coronavirus, also known as COVID-19, is a new virus. It was first reported in China on 31 December 2019. It has flu-like symptoms and can cause death in some severe cases. It is widespread in many countries around the world. The origin of the disease is not yet known.","Ghou yi pə́ fûŋ ńgó Corónavirus  Corónavirus, pə́ kə́ ncí mə́ fûŋ ńgó COVID-19, ə có ntor shwî yi ə́ ŋə́ ghou. Pə́ lə luŋ-mbi njí lə̂ njwó ghou zêi ə́ cər ngoŋ Shînə lə̂ 31 lə́ saŋ tsapwô lə̂ ləghəm lə̂ nguʼ 2019. Ə mbə̂u yi ghou zêi laghʼ ńgʉ̂ lə́ ŋuu, ə́ shwí pə́ yi jərə́ nci-nci ə́ mbou mbə́ yi mboʼ ə́ jwî ŋuu ghíʼə́ lə̌i  ngá’ lə̂ cǒ mbə̂u. Ghou zêi sar mə́ yʉʼ cər cər məlâ’ tə nzáa cər ngoŋ tsəm. Pə́ kə́ fú njîyé ləfǔ ghou zêi.","Le coronavirus, aussi appelé COVID-19, est un nouveau virus. Il a été signalé pour la première fois en Chine le 31 décembre 2019. Il a des symptômes semblables à ceux de la grippe et peut entraîner la mort dans certains cas graves. Il est répandu dans de nombreux pays dans le monde entier. L’origine de la maladie n’est pas encore connue."
Elderly person,Pye pi mənguʼ máp záa mə́,Personne âgée
Person with a heart condition or disease,Pye pi gháp ghǒu ntə̂ʉ  káa pi gháp ghǒu có ghou,Personne cardiaque ou souffrant de maladie
"Vulnerable people People of all ages can become infected with this new virus. The elderly and people with pre-existing conditions (such as asthma, diabetes, heart disease, high blood pressure) seem more likely to become seriously ill from this virus.","Pye pi mbo’ gháp ghou ghou zêi  Mboʼ ntor shwî zêi ghou ŋuu ntsəm lə̂ mənkaŋ mətsəm. Ə pye pi gháp cəghʼtə́ mə́ gháp pə pye pi gháp yǎa ngwô có ghou nde’e yi tə fú ə́ yaa mbə́ wó (ghí’ nzoʼ, ghou yi ə́ ghʉ shúka ghâʼ cər məci ŋuu, məghou mi ə́ ghou ntə̂ʉ  ŋuu, ghou yi ə́ ghʉ məci ŋuu khʉtə lə̂ təʉ). Ə́ shwí pə́ ghíʼ məghou mêi  mwo pə́ ngʉ̂ ntor zêi   fátə mə́ ngʉ́ ŋuu ghôu ghou zêi yo.","Personnes vulnérables Les personnes de tous âges, y compris les enfants, peuvent être infectées par ce nouveau virus. Les personnes âgées et les personnes souffrant de maladies préexistantes (comme l’asthme, le diabète, les maladies cardiaques, l’hypertension artérielle) semblent plus susceptibles de tomber gravement malades à cause de ce virus."
Fever Fatigue,-Fípaa -Ləkâa,- Fièvre - Fatigue
Dry cough Muscle aches and pains,-Kwoghʼə zəpə -Mbəʉ ŋuu zâŋ,- Toux sèche - Douleurs musculaires
"Symptoms The symptoms of a coronavirus infection are similar to those of the flu: fever, dry cough, muscle aches, fatigue. Some patients have pain, nasal congestion, runny nose, sore throat, or diarrhea. Some people, although infected, have no symptoms and feel fine. Most people recover without needing any special treatment.","Ə mbə̂u yi pə́ lagh’ ńjî ghíꞋ ghou  zêi  ghʉ  Ə mbə̂u  yi pə́ laghʼ ńjî ńgó ŋuu ghwo Corónavirus shwí pə́ mi jərə́ nci-nci: ə̂ fípaa, kwoghʼə zəpə, mbəʉ zâŋ, ləkâa. Pəcó pəghou pə́ nzû’ tə́poŋ, məlî máp naa cər wó, məlî pə̂ ntsə́ʉ  , môu-lóŋ pə̂ nzáŋ, mbaa ləpəm fəʼə́.  Pəcó pye, tə mbaa pə́ ghíʼ ghou ghou mə́ gháp, káa có zə̂uʉ        pə́ nyárə yé ńgó a ghwo mə́ ə́ mbou nkə́ mə́ nzû’ gháp pə̂ shʉʼʉ. Pəcop pye pəi mə́i ngǐ shwitə́, káa pə́i mə́ ntúŋu yé ńgó pə pə́i ntsúʼ gháp tsuʼú.","Les symptômes Les symptômes d'une infection au coronavirus ressemblent à ceux de la grippe : fièvre, toux sèche, douleurs musculaires, fatigue. Certains patients ont des douleurs, une congestion nasale, un écoulement nasal, des maux de gorge ou une diarrhée. Certaines personnes, bien qu’infectées, ne présentent aucun symptôme et se sentent bien. La plupart des personnes guérissent sans avoir besoin de traitement particulier."
Person with a cough,Ŋuu yi a pə̌ nkwóghʼ,Personne qui tousse
"Transmission of coronavirus COVID-19 is transmitted by people carrying the virus. When a sick person coughs or sneezes, they expel droplets through their nose or mouth. If a person breathes in these droplets, they can become infected with the coronavirus. If a person touches an object infected with these droplets and then touches their eyes, nose or mouth, they can also become infected.","Ə mbə̂u yi corónavirus ghʉ mbóŋə́ ghou ŋuu  Covid-19 ghí ghǒu ŋuu, ə́ fú lə́ ŋuu yi a ghwǒ ntor zêi. Ə́ pə̂ mpfu yi ngou kwôgh’ káa ncághʼ, məkoŋ məlî káa mətê tyâtə. Ŋuu póu nzəghʼə měi, méi mboʼ corónavirus ghou yé. Ŋuu póu nkə̌u məzə̂u    mi məkoŋ məlî káa mi mətê mi ghwǒ ntor pə́ mə́u ə́ ndaghʼ nkə̂u nyôgh’ mé, məlî mé káa ntsʉ yé méi mboʼ ghou zêi ghou yé.","Transmission du coronavirus Le COVID-19 est transmis par des personnes porteuses du virus. Quand un malade tousse ou éternue, il expulse des gouttelettes par le nez ou la bouche. Si une personne respire ces gouttelettes, elle peut être contaminée par le coronavirus. Si une personne touche un objet infecté par ces gouttelettes et si elle se touche ensuite les yeux, le nez ou la bouche, elle peut aussi être contaminée."
How to protect yourself,Mboʼ pə́ ghʉ gháʼá tə ndwoʼtə́ ghou zêi,Comment se protéger ?
"1. Avoid touching eyes, nose, mouth.","1.   Ə́ mbáa lə̂ lə̂ ndâghʼ mbô ńkə̌u mənyôgh’, məlî, ə́ ngʉ̌ ntsʉ.","1. Eviter de se toucher les yeux, le nez, la bouche."
2. Wash your hands frequently with soap and running water. Then dry them with a clean towel.,"2.   Ə́ ndǎghʼ nci yi ə́ pə́ nkúŋ gháp pə sógh’ə ńsôghʼ mbô. Ə́ sǒghʼ tə ə́ kuʼ, o lâghʼ tə́wə́rə ə́ nzâghʼ.",2. Se laver souvent les mains à l'eau courante et au savon. Ensuite les sécher avec une serviette propre.
3. Cough and sneeze into the crook of your arm. ,"3.   Ə́ mə́ ngwô nkwógh’ wo káa mə́ ngwô ncághʼ wó, o ŋó’o pô zô ə́ ncághʼ cər wó.",3. Tousser et éternuer dans le creux de son bras.
4. Avoid eating raw meat and touching live animals.,4.   Ə́ mbáa lə̂ mpfáp mbap mbâghʼ ə́ mbou mbáa lə̂ nkə̂utə mənye mi ə́ pyér ntəʉ.,4. Eviter de manger de la viande crue et de toucher des animaux vivants.
5. Keep at least one meter away from a person who is cou- ghing or sneezing. ,"5.   Ə́ mə́ nyáŋ   mbəʉ ŋuu yi a pə̌ nkwógh’ kəʉ mə́ ncághʼ, o nyêr ntaghʼ no tâ’ mítə. ",5. Garder une distance d'au moins un mètre avec une personne qui tousse ou qui éternue.
6. Avoid shaking hands. Greet each other with a nod or a verbal greeting.,"6.  Ə́ mbáa lə̂ ndâghʼ pô ńtseʼtə́ ŋuu. Ə́ mə́ ntsê’tə ŋuu, o lâghʼ pə̂ tû káa gháp tsâr.",6. Eviter de se serrer la main. Se saluer par un signe de tête ou une salutation verbale.
7. Avoid gatherings. ,7.   Ə́ ndwó’tə́ məyʉʼ mi pə́ pə́ kəitə́ wó.,7. Eviter les rassemblements.
8. Restrict movement.,8.   Ə́ ncótə́ məŋə̌i mô. ,8. Limiter ses déplacements.
9. Keep informed and verify the source of information.,"9.   Ə́ ndǒu lə̂ njí məno mi ə́ pə́ ndeitə́, ə́ mbou ndôu lə̂ njí ləcʉŋ no zêi.",9. Se tenir informé et vérifier la source de ses informations.
What to do in case of contamination? If you have symptoms: - Avoid contact with other people. - Stay at home. - Call 1510 and follow the doctor's instructions. Other possible numbers:,Mboʼ pə́ ghʉ gháʼá mpfu yi pə́ khwor mə́ ghou?  Pei lə̌i ndêi tə mə́ nzûʼ mələʼi ghou: -   Pei pâa lə̂ mə́ mbâatə pəcó pye. -   Pei nyâŋ nze’. Pei fúŋ nómbaa wo 1510 mbou ngʉ̂ ghíʼ pəlóghʼtə lǎʼ ńgó pə ghʉ̂. Pəcó pənómbaa pi mbo’ pə́ kʉʼʉ fúŋ pwo:,Que faire en cas de contamination ? Si vous présentez des symptômes : - Evitez les contacts avec d'autres personnes. - Restez à domicile. - Appelez le 1510 et suivez les consignes des médecins. Autres numéros possibles :
699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,699 279 622 675 308 373 698 423 929 655 728 884 670 713 979
699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761,699 933 725 677 429 357 699 986 740 676 466 797 670 113 761
