oki,eng
Agōpo kuutigoop Koroona,About Coronavirus
,
"Translated by: Stephen Leshao, Francis Lesingo, Joyline Chepkoech",
,
Indee kiit ageenge nē maktaat inay agōpo kiit nē kiitooy ingēēnoomndooy keey,
Kōōtēēt,
Sēruunēēk,
"Koonyeek,",
Kiit kochut,
 Chiito nē    pēērēy keey,
Chiito ne miāni,
Kinoomndooy keey kuutichu ēn pēēk chē soitooy chēpo,
"Inaaktaa-e, iyē tēēn Mita-iitsyek o-ēēny si kōmoipiisiin  pēēychoon isooytooy chiichoon po o-ēēny",
1,
Mita-iisyek o-ēēny,
Atisyōō!,
"Ko aynyōōn kiit ka isuwe  chiito nē loolēy, nē iryoonēy nē mi-āni kō maktaat:",
Igoochin kiit nē tuchēēn sēruunēēk ak kōōtēēt.  Kō paanan kōmuuchēy kōloolchi onoon kōryoonchi  si kōmainaamda piik chē nēēgitēēn,
o-ēēny,
Kiit nē kituchēēn sēruunēk iyoon kiiryoonēy,
ONOON,
"Imuuchēy kōmo miāni, kōēk kityō  riipēy keey.",
"Piik chē kiigonaamda kōmuuchēy kōmotook kōlē tinyēy, iskō ais inoomdooy piik.",
"Iskō kōmyēēy  kōmoinēēgitē  iyē chaang' piik, ingaap moingēēn ilē ainōōn ēn piichoon nē  miāni.",
Siipitik chē kigutēēn keeleek,
Chiito nē pēērēy keey,
Kiit nē kināmēy ēn kariitaap maat,
Ki-oon kichiilēy ēn lift,
Kartasiit ne tangus,
kigomba-iik,
Kōmpuuta ak siimoit,
Agōt karaastaap kiyoon kiituchēēn  kōōtēēt ak sēruunēk,
Tuguchoon kināmootēy ingēloonyēy patay ko,
Kiit nē kichiilēēn kōmpuuta,
kilaamit,
Chapii inaan kigērēēn kurgeet,
Ē-iinēkyuwaak,
Is kōmuuchēy ais  kōsoychiin  ng’uleegaap chiito nē mi-āni tuuguugoop chiit age…,
Kō  omuuchē omi-āsē tōgōl,
Onoon kō togoitaap tilyonuutiguuk,
Itinytiny konyeeguuk,
"Kō ōt inam tuguuchu komaay inay, is inam togoita,",
"Kō kiit nē kiitooy kityō komanamin kō kee-uun e-iinek ēn sopuniit, onoon kō tuguuk che kiigitesta rootiik",
Imuuchēy kōsopcho kuutichaan ēn patay tuguuk ēn tuchuupo saa-isya,
sopuniit,
Riipēētoop keey,
Noon omunee si kōmaktaat kēēsip ng'aleechu,
I-uunēēn  sopuniit oōt iitis iyu,
Tutunytoop ē-uut,
"Me inam  togoitang’uung’. (Onoon kō togoitaap chii agetōgōl.) Kiit kaimach inam, igan i-uun ē-iinēguuk kōsiing'ōōy ēn sopuniit.",
Saa-it nē yāmēy iguurtoo-ē tyēni porēy  “Happy Birthday” kip o-ēēny ,
Oriitoop siilolik,
segoontiisyek  20,
Tooytoop moriik,
I-uun rēpēito ak patay ē-iinēguuk,
Kōsiing'ōōy kō nee?,
"Ōt inam, kō moimwēy. I-uun ē-iinēguuk ēn sopuniit.",
Kōgēny kēēr ilē maay inam oriit ēn  maskinaan,
Pēēk chē soitooy,
"Piitunēēn oriitoop masking'uung'  kuutik chē kēēguurēēn ""bacteria"" kiita kailaach pēsyōōsyēk  che chaang'.",
Mētēēn maskit  iyoon kay komuny. Me ilaach ōt isiiris  pēsyēēt  ageenge!,
Pchē-ēēn  segeetyet nē ōw,
Laakweet,
Paapa,
"Ēyōō,",
Ōngōtinyēy chiitōgōl  toulōinyiin,
"Moam omdit ēn saniit ageenge, onoon o-āmisiē kurpeet ageenge onoon ōsuchēgēēy toulōit ageenge.",
Moimuugoksēy itwaa-e togoitang'uung' tutuunytoop ē-uut agōt inda iyōōtē.,
"Yaateen kurgeet tutunytoop ē-uut onion kō tigikyoot nē kata iyootēēnē ē-uut, ōt kōmuugoksēy.",
Kaaw,
Ak iyoon kay imang'de ēn iyē indēē piik.,
Kōtōōmo iāmiisyē,
I-uunēēn sopuniit ē-iinēguuk kōtēēn kay…,
"Nēpo lēt,",
Sopuniit,
Riip keey chiitōgōl,
Sooman siruutik  siinay che chaang’!,
"1.     “This animation shows how far your sneeze can actually travel” by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020) ",
"1.     “The Wuhan Virus: How to stay safe”, by Laurie Garrett, in Foreign policy, Report.  (Jan 25, 2020) ",
"1.     “How to avoid the coronavirus? Wash your hands”. By Elizabeth Rosenthal, in the New York Times, opinion.  (Jan 28,2020) ",
Iyē kinyōōrchin ng'aleegaap konyoo-isēēt: ,
