uuu,mya,ahk,wbm,eng
Via khaing Covid - 19 ,Covid-19ကို ရှောင်ရှားခြင်း , Covid-19ကို ရှောင်ရှားခြင်း,Via khaing Covid - 19,
,,,,
,,,,Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 27.3.2020
,,,,Literacy for Women in Africa
,,,,"Translator Sai Rong, Illustrator Ai Yawn Kap"
,,,,Khoek taix ka sidah khoek tiaix. (a) Khoek taix tix kah rawm sidah khoek taix pa yuh ka rawm plai teung.
,,,"Paw teeh ngai, meeh mai jheeh tix.","Avoid touching eyes, nose and mouth. "
,,,"Phan miah, mauk caw ti tawb meeh mai jheeh ka joh tix (a) caw ti tawb ka plah ce. Khaix an caw ti tik daux pung briem dom mawx dom an heue.",Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose  the used tissue immediately.   
,,,Caw ti ot singai khaing paox tix dee iak (6) sawk awx.,Maintain 2 meters distance between yourself and others.  
,,,"Phan ang nyawm ot, caw ti ot nyiex. Phan mauk, nu ti sileed bhawm mai phan koe jhawm saux caw ti niied hu nyiex sidah pa dex mai tix heue.","Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early.  "
,,,Caw ti jhak sitang pa shiang mai Covid – 19. Caw ti hawt yuh awm sitang mai pa tawx daux krax cub caw pa shiang mai krax nyawm ot awx.,Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.  
Via khaing Covid - 19     Via khaing Covid - 19               ,Covid-19ကို ရှောင်ရှားခြင်း     Covid-19ကို ရှောင်ရှားခြင်း               , Covid-19ကို ရှောင်ရှားခြင်း     Covid-19ကို ရှောင်ရှားခြင်း              ,"Via khaing Covid - 19    Via khaing Covid - 19        Paw teeh ngai, meeh mai jheeh tix. Phan miah, mauk caw ti tawb meeh mai jheeh ka joh tix (a) caw ti tawb ka plah ce. Khaix an caw ti tik daux pung briem dom mawx dom an heue. Caw ti ot singai khaing paox tix dee iak (6) sawk awx. Phan ang nyawm ot, caw ti ot nyiex. Phan mauk, nu ti sileed bhawm mai phan koe jhawm saux caw ti niied hu nyiex sidah pa dex mai tix heue. Caw ti jhak sitang pa shiang mai Covid – 19. Caw ti hawt yuh awm sitang mai pa tawx daux krax cub caw pa shiang mai krax nyawm ot awx.  ","     Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 27.3.2020 Literacy for Women in Africa Translator Sai Rong, Illustrator Ai Yawn Kap    Khoek taix ka sidah khoek tiaix. (a) Khoek taix tix kah rawm sidah khoek taix pa yuh ka rawm plai teung. Avoid touching eyes, nose and mouth.  Cover your mouth and nose with your bent elbow or tissue when you cough or sneeze. Dispose  the used tissue immediately.    Maintain 2 meters distance between yourself and others.   Stay home if you feel unwell. If you have fever, cough and difficulty breathing, seek medical attention early.   Stay informed on the latest developments about COVID-19. Follow advice given by your healthcare provider.    "
