lts,wms,eng,ind
Olumbe lwa Korona,Virus Koronatak,About Coronavirus,Tentang Virus Corona
,,,
,,,
,Virus Koronane andagamondik komegemat eptage gogopwe dominugo luk nombongga sanggomo katkenaknantak ,,
,KOMEGEGE ,,
,Bonop ,,
,Kalit ,,
,Kelop ,,
,Kute etomat ,,
,Hinbalino kap,,
,Yayuno kap ,,
,Nemamo asin selenggetkandige viruse komegemat,,
,Wambemo kamgenakna.  Kamge 2 metetkenaknandik  asin asinamalo walokge dano gogopwe lawogettoe.,,
,1,,
,"2m-0,5m",,
,Ahi!! ,,
,Golo gogopwe hetaknano kapwe Apyokgup koyo hiwagilokgup koyo yayunggup kegetle nemanuna: ,,
,Yagoptage masketle nandakna. Emanunano  yagopwe hiwagilokdik  goyo apyokdik ewe masket topka asinano sinimo manggopwe lawontakdoe.,,
,2,,
,Matetik *SROOT*,,
,KOYO,,
,"Nombono kapwe epmo yayune tembetik, do ego andit wambemomopsigi masket haloge.",,
,"Viruskola lawatbono kapwe tepwe lapbesanmono goge katkenagettoendik, ego yayune kamo lapkomemomoge. ",,
,"Mitkuptage, awopdikga  yayunggup denopwe gogopwe amokgolo,  matet baline kap dagit talokge kanaget. ",,
,Andemop simbit ,,
,Hinbalino kap ,,
,Taksi topka lapdimo elan ,,
,Halik tombot ,,
,Tisu ,,
,Oktdim ,,
,Elektronik ambat ,,
,Masket mote besan nemet talok ,,
,Halik talokgo lapdiman ,,
,Mous ,,
,Botpen ,,
,Aptop gelendet ,,
,Yago bisit ,,
,"Emandik, yayuno kapko walokge nombenbep taloga lawomoge… ",,
,Emamane gogop mitkupwe yayumonamat.,,
,Koyo gogp sinimo manggopko kelopkalit ,,
,Koyo kelopwe lawo hopkotman ,,
,"Gogopwe manggopdoega, ewo mane baunbelo dako ga kelopkalit, ",,
,Matetbaline ewo imakeman ambatle sabungga goyo baikilin okga goyo alkoholo okga  ogogopnunandikga viruse tembetkemoge. ,,
,Viruse kenonggo imakeman ambat taloga bageno kitipke satkemo satkelopwe 24ke motomgemoge. ,,
,Sabun,,
,nombemanyepmo viruse haloganuna.,,
,"Ewoptakgolo, datlo lapkitman epdikge matetkayan ",,
,Sabungga ogoknonagano nombephalonggen.,,
,Bisit munggup ,,
,Gogo kelopkalitle laphetkonage.(Koyo awopko kelopkalitkup laphetkonaget.) Emamomopkegetle bisitle sabungga ogokmonagano bokge tembetkendik. ,,
,“Kawetbono talomo” gome ligenano motomgemogen yepkentak. ,,
,Bisit muktop ,,
,Kogeno 20 detikgentak ,,
,Bisit talon kakmontop ,,
,Bisit atat mimbanggup okgok betik ,,
,Bisitle andagambetik okgokmogenano bokge tembetkemat? ,,
,Lapwalenggegetle wasi sabungga bisit ogoknuna. ,,
,Masketla mote besane lawonaget ,,
,Walok hotgon ,,
