cak,spa,eng
Richin man niqak'än ta ri COVID-19,Cómo evitar el COVID-19,Avoid Covid-19
,,
Ruchituy Tijonïk richin Paxil Kayala' Tijonïk pa ka'i' Ch'ab'äl pa ka'i' B'anob'äl,,
Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 27.3.2020,,
Literacy for Women in Africa,,
978-9929-794-28-3,,
"Jantape ta ch'aja' ri aq'a', takusaj ya' chuqa' xab'on.  Ruk'amon chuqa' takusaj liq' xab'on.",,
"Mani nachäp ri awäch, ri atza'm chuqa' ri achi'.",,
K'o chi natz'apij ri achi chuqa' ri atz'am rik'in jun wuj su't toq yatat'ixäm chuqa' toq yatojb'er. K'a ri k'o chi chanin nak'äq ri su't wuj.,,
Taya' ka'i' metro a kojol kik'in ri ch'aqa' chïk winaqi'.,,
"Wi k'o k'atän chawij, k'o ojob' chawe' chuqa' wi man yatikir ta najiq'aj awuxla', chanin takanoj jun aq'omanel.",,
Kan k'o chi nawak'axaj ri rutzijol pa ruwi' ri COVID-19. Kan tanimaj kitzij ri nikib'ij ri aq'omanela' pa ruwi' re yab'il re'.,,
Tojtob'enik,,
¿Achike ruk'amon nab'än richin man nak'än ta re coronavirus?,,
jantape nab'än moloj,,
jantape nach'äj aq'a',,
jantape nab'än etz'anen,,
¿Achike ruk'amon nab'än kik'in ri winaqi'?,,
naya' a kojol k'ik'in,,
yatetz'an kik'in,,
namol awi' kik'in,,
"Richin man niqak'än ta ri COVID-19  Ruchituy Tijonïk richin Paxil Kayala' Tijonïk pa ka'i' Ch'ab'äl pa ka'i' B'anob'äl  Richin man niqak'än ta ri COVID-19 Illustrations:  Ari and Elaine Vitikainen   Information was taken from WHO websites such as https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public  Version 27.3.2020 Literacy for Women in Africa   978-9929-794-28-3 Jantape ta ch'aja' ri aq'a', takusaj ya' chuqa' xab'on.  Ruk'amon chuqa' takusaj liq' xab'on. Mani nachäp ri awäch, ri atza'm chuqa' ri achi'. K'o chi natz'apij ri achi chuqa' ri atz'am rik'in jun wuj su't toq yatat'ixäm chuqa' toq yatojb'er. K'a ri k'o chi chanin nak'äq ri su't wuj. Taya' ka'i' metro a kojol kik'in ri ch'aqa' chïk winaqi'. Wi k'o k'atän chawij, k'o ojob' chawe' chuqa' wi man yatikir ta najiq'aj awuxla', chanin takanoj jun aq'omanel. Kan k'o chi nawak'axaj ri rutzijol pa ruwi' ri COVID-19. Kan tanimaj kitzij ri nikib'ij ri aq'omanela' pa ruwi' re yab'il re'. Tojtob'enik ¿Achike ruk'amon nab'än richin man nak'än ta re coronavirus? jantape nab'än moloj jantape nach'äj aq'a' jantape nab'än etz'anen    Tojtob'enik ¿Achike ruk'amon nab'än kik'in ri winaqi'? naya' a kojol k'ik'in yatetz'an kik'in namol awi' kik'in     ",Cómo evitar el COVID-19    Cómo evitar el COVID-19                             ,Avoid Covid-19    Avoid Covid-19                             
