rel,eng
Wori Faayrashi Koroona miinsan,About Coronavirus
,
"Translated by Joshua Galimogle, Laban Eysinkele & Joshua Borano",
,
Wohoo kaldaye saggi Faayrashi Koroona itaa’ho at abatti on jira,
Saggi us itaaho’,
Af,
Sam,
Indo,
Miilassaah,
Eti feyyan,
Eti khannan,
Faayras chirri  hanjufti,
Foga ileero: Mitta lamma hanjuf a kaalaabta.,
Koow,
Mitta lamma,
Attissiyo,
"’Deerka chirri at etoo yarho, attissiyo ommos khannan agarte waha yeel:",
"Dafarti fool lakorsati sii: Intaas a kayarheene ommo a kaattissiyeen, uus ’doo’di isoodow khabsiin",
Lamma,
Dafarti lakaneebsati,
Ommos,
Kolossoo ma khannane sugeer on iskajeyissa.,
Enenyet a geeddi us khannanyahe i’daasenyi wihi tuso liiargine us enenyet khabsiicho.,
Ururre goya iiran a mehe eti khannan ma garatti.,
Kho’doomme,
Saabab,
Meelassi lafuro,
Khadaabbe,
Kokkoobbe,
Bir,
Darfohi fool lakorsati kharicho laka,
Faaneyohi lakakoro,
Ulaa’du,
Kalaamoyyo,
Afassi minanoot,
Dahano,
I’daasenyi hanjufti eti khannan ilassa a kidihta…..,
Atin tuumman a geeddi atin khannattaan,
Ommos fooli etaahkoo ’daarte,
Indo isrobto,
Chirri at wahanyeyyoha baabul ’daarte at toro foolaah ’daarte,
"Ichoow jiti kaldaye at holisso a chirri at saabbuun, ildawa ommos farso kadikhto.",
Faayras a geeddi us saha’dohoo meel kijiro,
Saabbuun,
Waansi,
A haaggantahe chirri at waansiha raahto,
Miilassa saabbuun kadikh,
Dikkil,
Foolaah ommos fooli etoo a’daarin. Geeddi at i’daarin dahanohaah koloo saabbuun kadikh,
Geedda at dikhatti  geeyoo gaaban kol lamma dowo,
Goffanne ilichooda,
Geeddoo dikh,
Farro dahchooda,
Dahanohaah adahcho dikh,
Weyti a mehe?,
Cha’at ’daarte awa’waa’din. Dahano saabbuun kadikho.,
Toro dafartaas fool khariche a’daarin.,
hanjuf,
Wihi sugeer keeno dafartaas fool goya kasoobahaan cha’at geeddi deer gessatte,
Dafarti fool chi’iche geeddoo fiddiite rog. Maalinkoo kalday akutin.,
Kucchugati golol lakagessati khab,
Weel,
Ooyo,
Abar,
Ebba dafartiis a khabo,
"Golol, karmo, kokkoobbe. Darfo isleegismina",
Dikkil fool ma ka’daarto koloo kalday laka.,
Afaf dikkil ommos barbar kafure ommos kahid dahano birriche mee.,
Goob,
Ichoow cha’at urur goya katimiy,
Geeddi at igolossan,
Kol dakkhan dahanohaah saabbuun kadikh,
Wihi ’da’ddaboot,
saabbuun,
"Mujjum fiddiiy, enenyet tuumman",
Worassaas mujjum soom,
"“This animation shows how far your sneeze can actually travel” by Chia Yi Hou and Andrea Schmitz, in Business Insider (Jan 21, 2020)",
"“The Wuhan Virus: How to stay safe”, by Laurie Garrett, in Foreign policy, Report.  (Jan 25, 2020)",
"“How to avoid the coronavirus? Wash your hands”. By Elizabeth Rosenthal, in the New York Times, opinion.  (Jan 28,2020)",
Meelassi wora feyyaat lakeelo,
"Additional notes: Hygiene precautions in comic are effective in preventing many other common infections such as flu and cold, and should be applied in every day life, even when there is no epidemic.  References: lnformation in comic is based on understanding of COVID19 up till 28 Feb 2020, and mainly from these three references.  https://www.nytimes.com/2020/01/28/opinion/coronavirus-prevention-tips.htmlhttps://foreignpolicy.com/2020/01/25/wuhan-coronavirus-safety-china/  https://www.businessinsider.com/how-far-sneeze-cough-germs-can-travel-2018-10 Additonal lnformation A PDF version of the comic is available for free download here: https://gumroad.com/weimankowart  Sharing Guidelines This comic is free for the general public to share online and through Whatsapp and Telegram, and the downloads are free for printing out as posters for personal and educational use in homes, schools, and workplaces.  When sharing, please remember these 3 points: 1) No edits to the comics is allowed in any way when sharing. 2) Comics cannot be used for any commercial project 3) lf online, credit the creator on FB by tagging @weimankowart, on IG by tagging @weimankow (IG), or providing a link to instagram com/weimankow For all other uses, please send a request in to: comicsforgood@gmail.com",
,Bible Translation & Literacy E.A
,"Translated by Joshua Galimogle, Laban Eysinkele, Joshua Borano"
,"Created by Weiman Kow, instagram: weimankow"
