ahk,spa,wbm,eng
Koˬroˬ naˬ vaiˇ rasˆ gaˇ kawˆ,Sobre el Coronavirus,Grawh grawng viag Corona,About Coronavirus
,,,
,,,
,, Caw ti tawng viag Corona an mawh viag yuh ka mawx?  ,
,,Grawng pre viag.,
,,Jheeh ,
,,Meeh ,
,,Ngai ,
,,Chix tiang haok ka maix khaing ceu in. ,
,,Pui pa nyawm ot,
,,Pui koe jhawm saux ,
,,Jhawm saux chix pre yam jah rawm in. ,
,,"Ot 6 sawk, chix tieb tie ka viag pa yie tiang hu.",
,,1,
,, 6 sawk ,
,,   Haik cho ,
,,"Mah kheu nan, phan yaox pui mauk, miah mai saux caw ti hawt been awm pa koe plak greem awx. ",
,,"Tawx pa tawb meeh (mask) ka kix. Kheu miah, mauk nawh kadaux man tawb meeh, chix tieb tie ka pui pa koe rob rem tix heue.",
,,2,
,,Ting buan son (pui miah) ,
,,Phan ang mawh nan ,
,,Viang nawh ang saux kawx nawh chix tieb tie tokaux tix.,
,, Saux viag koe mie ding kaux ang chix goih tawng mawh kheu nan chix tiang hu khaing heue. ,
,," Kheu ex ang chix tawng pui mawx pa koe jhawm saux viag, caw tix via khaing dee ot pui hun heue.",
,,Thu shiao,
,, Pui nyawm ot ,
,,maox giex taix daux cheu,
,,pa yeen daux bawng cag,
,,plah ce,
,,kawk rawm  ,
,,kraung cag pa shiao ,
,, Plak praix man tawb meeh ,
,,Taix haok bawng ,
,,Maok  ,
,,Gawng tiiem ,
,,Pang siviex ,
,,Taix nawh ,
,,Khaix an mia pui saux kawx chix koe ka kraung shiao. Lox tiag ,
,,Chix tiang saux ka maix mai kix uik heue.,
,,Giex ka ngai baoh pui pa moh ,
,,Giex ngai tix ,
,,Phan maix krox ngai baoh tix khaing giex ceu an ,
,,Phan sang tieb tie caw ti khoek taix tix singax mhawm ka sidah khoek mai rawm sidah plai.,
,,Viag an pon ot im ka piang kraung shiao tom rheung heue. ,
,, Sidah khoek ,
,,Ceu pa caw ti yuh son krax tieb tie,
,,-      Phan hawt yuh awm an mawh pa nie mhawm heue. ,
,,Khoek tom hoek dee in ,
,,Sidah khoek ,
,,Jhong taix,
,,Paw teeh ka ngai baoh tix (a) ngai baoh pui tang kaux. Phan lo ti krox caw ti khoek taix tix ka sidah khoek mhawm mhawm heue. ,
,,Kieh rheeng bawgyam awm ah lox lai iak ra bawg awx,
,,Kadaux nghim taix ,
,,Rheeng 20 siekan ,
,,Sinax giien taix ,
,,Khoek plah taix ,
,, Kudah ah mawh pa tix? ,
,,Phan piawm krox paw khi rhawm caw ti khoek taix tix ka sidah khoek mhawm mhawm heue. ,
,,Paw krox ka plak praix man tawb meeh. ,
,,Rawm jah ba koe viag.,
,,Phan rheung jheep man tawb meeh tix mu viag chix ot ti ting daux man an heue. ,
,,Man tawb meeh shiao tix bawg paw shiao lheu khaing tix ngaix phan maox bhaw caw ti tik heue. ,
,,Shiao lawk tuh puk taux,
,,-  Kawn ,
,,Keeing ,
,,Miex ,
,,Kieh tang shiao man ot cao tix. ,
,,"Paw riem shiao ka kraung, kawk rawm, man awt mai priex ih tau. ",
,,Maix ang chix yuh jhong taix maix hu krox ka ngaix baoh maix ceeix kawx heue.,
,,Phan sang paoh siviex paoh ka jhong taix (a) nyheen paoh ka klip tix. Paw paoh ka taix tix. ,
,,Ka nyiex ,
,,Yam hoek khaing plak praix,
,,Sivoe ang nyang ih priex ,
,, Khoek taix ka sidah khoek sijheeng ,
,,Dee sidah ,
,,Sidah khoek,
,,Ot mhawm khaing krax lhat graung ,
,,Ot mhawm khaing krax,
,,,"Created by Weiman Kow, instagram: weimankow"
Koˬroˬ naˬ vaiˇ rasˆ gaˇ kawˆ                                                                                       Koˬroˬ naˬ vaiˇ rasˆ gaˇ kawˆ        ,Sobre el Coronavirus                                                                                       Sobre el Coronavirus        ,"Grawh grawng viag Corona     Caw ti tawng viag Corona an mawh viag yuh ka mawx?   Grawng pre viag. Jheeh  Meeh  Ngai  Chix tiang haok ka maix khaing ceu in.  Pui pa nyawm ot Pui koe jhawm saux  Jhawm saux chix pre yam jah rawm in.  Ot 6 sawk, chix tieb tie ka viag pa yie tiang hu. 1  6 sawk     Haik cho  Mah kheu nan, phan yaox pui mauk, miah mai saux caw ti hawt been awm pa koe plak greem awx.  Tawx pa tawb meeh (mask) ka kix. Kheu miah, mauk nawh kadaux man tawb meeh, chix tieb tie ka pui pa koe rob rem tix heue. 2 Ting buan son (pui miah)  Phan ang mawh nan  Viang nawh ang saux kawx nawh chix tieb tie tokaux tix.  Saux viag koe mie ding kaux ang chix goih tawng mawh kheu nan chix tiang hu khaing heue.   Kheu ex ang chix tawng pui mawx pa koe jhawm saux viag, caw tix via khaing dee ot pui hun heue. Thu shiao  Pui nyawm ot  maox giex taix daux cheu pa yeen daux bawng cag plah ce kawk rawm   kraung cag pa shiao   Plak praix man tawb meeh  Taix haok bawng  Maok   Gawng tiiem  Pang siviex  Taix nawh  Khaix an mia pui saux kawx chix koe ka kraung shiao. Lox tiag  Chix tiang saux ka maix mai kix uik heue. Giex ka ngai baoh pui pa moh  Giex ngai tix  Phan maix krox ngai baoh tix khaing giex ceu an  Phan sang tieb tie caw ti khoek taix tix singax mhawm ka sidah khoek mai rawm sidah plai. Viag an pon ot im ka piang kraung shiao tom rheung heue.   Sidah khoek   Ceu pa caw ti yuh son krax tieb tie -      Phan hawt yuh awm an mawh pa nie mhawm heue.  Khoek tom hoek dee in  Sidah khoek  Jhong taix Paw teeh ka ngai baoh tix (a) ngai baoh pui tang kaux. Phan lo ti krox caw ti khoek taix tix ka sidah khoek mhawm mhawm heue.  Kieh rheeng bawgyam awm ah lox lai iak ra bawg awx Kadaux nghim taix  Rheeng 20 siekan  Sinax giien taix  Khoek plah taix   Kudah ah mawh pa tix?  Phan piawm krox paw khi rhawm caw ti khoek taix tix ka sidah khoek mhawm mhawm heue.  Paw krox ka plak praix man tawb meeh.  Rawm jah ba koe viag. Phan rheung jheep man tawb meeh tix mu viag chix ot ti ting daux man an heue.  Man tawb meeh shiao tix bawg paw shiao lheu khaing tix ngaix phan maox bhaw caw ti tik heue.  Shiao lawk tuh puk taux -  Kawn  Keeing  Miex  Kieh tang shiao man ot cao tix.  Paw riem shiao ka kraung, kawk rawm, man awt mai priex ih tau.  Maix ang chix yuh jhong taix maix hu krox ka ngaix baoh maix ceeix kawx heue. Phan sang paoh siviex paoh ka jhong taix (a) nyheen paoh ka klip tix. Paw paoh ka taix tix.  Ka nyiex  Yam hoek khaing plak praix Sivoe ang nyang ih priex   Khoek taix ka sidah khoek sijheeng  Dee sidah  Sidah khoek Ot mhawm khaing krax lhat graung  Ot mhawm khaing krax Sidah khoek       Grawh grawng viag Corona        ","About Coronavirus                                                                                       About Coronavirus    Created by Weiman Kow, instagram: weimankow    "
