kwu,fra,eng
Cak ɔ njalaa nɛ seŋlɛ ifɔɔ Kolonavilus keh kisi KOVID-19,Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19,What you need to know about the CORONAVIRUS or COVID-19
,,
,Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation,
,Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home,
,Traduit en Kwakum par : NDENGUE NDENGUE Simon,
,"Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun",
"Kolonavilus, cak yɛ ntɛsi dowaa naa ﻿« KOVID-19 », a’i mɔmɔɔnɔ kɔn moo yɛ mɛɛ jɛɛ nɛ misi. Gwomɔ bomaa mɛ nɛ kɔn nɛh kɛlɔ moo pɛl ɔ kanda yɛ ndowaa naa « Chine » jowɔ 31 kɔndu Saa 2019. Kɔn wɛ ntatlɛ tah tabanda, cak yɛ ndowaa ɔ Pulasi tee naa « grippe ». A’i nɛ kul a njolaa ɔ kipɛtɔ fɔku. A bɔ tondɔ akanda bulaawɛ ɔ bɔndaki cindi. Yɛ si la bɛk seŋlɛ isuku kɔn. ",,
,,
Gwomɔ sɔsɛŋ.,,
Gwomɔ ŋkɔmbyɛ ɔ sa. Gwomɔ ji nɛ kɔn fɔku.,,
"Gwomɔ a nja nɛmbɔ yi :  Gwomɔ ɔ kala cindi, yɛ ji nɛ kul yɛ ŋkɔmbyɛ kɔn KOVID-19. Gwomɔ sɔsɛŋ nɛ gwomɔ ji ŋkɔmbyɛ yi (nɛ kɔn tah kɔn kibuku, diabète, tɔɔ kɔn sa), yɛ ji nɛ kul yɛ mbɛ kɔmbyɛŋ bɔsaawɛ pɔmbu kɔn wɛ. ",,
Yɛ mpaamɔ. Nyotu nlɛlɔ.,,
Kikɔslyɛ ji jomaawɛ. Ikɛɛ ji ɔ pundɔ tee.,,
"Kɔn ntewsaa nai?  Kɔn KOVID-19 ntakaa nɛ tabanda. Ɔ kitatla kikɔn, gwomɔ, yɛ mpaamɔ. Yɛ mbɛ nɛ kikɔslyɛ moo ji jomaawɛ yi. Pundɔ ŋkɛɛ ya. Nyotu moo gwaa nlɛlɔ tɛsi. Gwomɔ fɔku, jol waa ji kɛɛ. A'i tɛsi folɔ. Mel ŋkɛɛ ya. Yɛ'i nɛ kul yɛ ntɛsi bɛ nɛ fol. Gwomɔ fɔku, tɔɔ yɛ ji nɛ kɔn, yɛ bɛk kɔmbyɛ. Yɛ mɛɛ seŋlɛ naa yɛ'i nɛ kɔn. Mbyɛtma gwomɔ ntɔɔmbɔ bɛk nɛ ceti.",,
Momɔ moo ŋkɔslɛ yi.,,
"Fela KOVID-19 ŋkalaa yi  KOVID-19 ŋkalaa nɛ momɔ moo ji nɛ kɔn ɔ nyotu tee. Kipɛtɔ momɔ moo ji kɔmbyɛŋ yi ŋkɔslɛ keh kisi a ncislɛ yi, a mpaamɔ gwɔgwɔɔnɔ nciki nɛ jol nɛ mombu. Keh momɔ fɔku nsosɔ nciki mɛ, a ji nɛ kul a njataa KOVID-19. Keh momɔ fɔku nsukɔ ndɔɔ nciki jol mɛ kawlyɛ yi, a nnyɛ si sukɔ misi, tɔɔ jol, tɔɔ mombu wɛɛ, a ji tɛsi nɛ kul a njataa kɔn nɛh. ",,
Sɛ ŋkwɛnjɔ kɔn nai ?,,
"1. Ɔ bɛk sûkɔ misi, jol, tɔɔ mombu. ",,
2. Ɔ njoolɛ mbɔ kipɛtɔ cindi nɛ nciki pupɛŋ nɛ sɔwɔ. Ɔ njomsɛ mbɔ nɛ tawla pupɛŋ. ,,
"3. Ɔ ŋkɔslɛ, nɛ ncislɛ ɔ  lemɛlemɛ mbɔ. ",,
4. Ɔ bɛk jîh bupa besi. Ɔ bɛk sûkɔ itɛtɛl si la nɛ misi yi. ,,
"5. Ɔ bɛk tɛ̂wlɛ kunwaawɛ nɛ moo ncislɛ yi, tɔɔ moo ŋkɔslɛ yi. Ɔ nlondɔ nɛ ja tɔɔ tah mɛta mɔtu.",,
"6. Ɔ bɛk byêlɔ gwomɔ mbɔ. Nɛ mpyɛplɛ mbɔ, tɔɔ nɛ ŋkee si naa : « Ɔ ndomb'ɛɛ. »",,
7. Ɔ bɛk jîlɔ igwosu mbyɛtma gwomɔ.,,
8. Ɔ bɛk ja jaandɔ. ,,
9. Ɔ mfoktɛ tom. Ɔ ntɛsi pyaalɔ keh tom wɛ ji ciŋŋciŋŋ. ,,
"Keh momɔ mɛ jataa kɔn, a saŋ nai ?  Keh ɔ yɔku joktaa naa gwɛ ŋkɔmbyɛ, ɔ bɛk kɔ sanjaa nɛ gwomɔ. Gwɛ njilɔ petɛŋ ɔ itoo tee.   Gwɛ ŋkɔ taakɔ lɔlɔlɔ. Gwɛ ndowaa ɔ 1510 pɔmbu ijokɔ tewcɛ dokta. Gwɛ ji tɛsi nɛ kul gwɛ ndowaa : ",,
699 279 622 675 308 373 698 423 929 655 728 884 670 713 979,,
699 933 725 677 429 375 699 986 740 676 466 797 670 113 761,,
"Kwalyɛŋ nɛ kipɛtɔ cinɛh, ceti si la bɛk bɛ pɔmbu itomsɛ KOVID-19, lɛɛ adokta yɔku pɛwɔ ceti moo njalaa yi.  Momɔ cindi njalaa nɛ biwaa pɔmbu ikambaa nɛ gwɛɛ nyotu wɛ nɛ nyotu moo gwomɔ fɔku tɛsi.  ",,
Cak ibuku fɔku nciyaa yi  Kɔn kibuku : Boku momɔ tɛɛ nɛ kul a nsosɔ tambyɛ. Kɔn nɛh bɛŋ wɛɛ maalɔ. Yɛ ndowaa kɔn kibuku ﻿« asthme » ɔ Pulasi tee.  Fol ŋkusɔ ɔ jol : A ji tah nciki mboma. Yɛ ndowaa yɛ « écoulement nasal » ɔ Pulasi tee.  Tabanda : A ji tah mboma. Yɛ ndowaa kɔn nɛh ﻿« grippe » ɔ Pulasi tee.  ,,
"Cak ɔ njalaa nɛ seŋlɛ ifɔɔ Kolonavilus keh kisi KOVID-19    Cak ɔ njalaa nɛ seŋlɛ ifɔɔ Kolonavilus keh kisi KOVID-19      Kolonavilus, cak yɛ ntɛsi dowaa naa ﻿« KOVID-19 », a’i mɔmɔɔnɔ kɔn moo yɛ mɛɛ jɛɛ nɛ misi. Gwomɔ bomaa mɛ nɛ kɔn nɛh kɛlɔ moo pɛl ɔ kanda yɛ ndowaa naa « Chine » jowɔ 31 kɔndu Saa 2019. Kɔn wɛ ntatlɛ tah tabanda, cak yɛ ndowaa ɔ Pulasi tee naa « grippe ». A’i nɛ kul a njolaa ɔ kipɛtɔ fɔku. A bɔ tondɔ akanda bulaawɛ ɔ bɔndaki cindi. Yɛ si la bɛk seŋlɛ isuku kɔn.    Gwomɔ sɔsɛŋ.  Gwomɔ ŋkɔmbyɛ ɔ sa. Gwomɔ ji nɛ kɔn fɔku. Gwomɔ a nja nɛmbɔ yi :  Gwomɔ ɔ kala cindi, yɛ ji nɛ kul yɛ ŋkɔmbyɛ kɔn KOVID-19. Gwomɔ sɔsɛŋ nɛ gwomɔ ji ŋkɔmbyɛ yi (nɛ kɔn tah kɔn kibuku, diabète, tɔɔ kɔn sa), yɛ ji nɛ kul yɛ mbɛ kɔmbyɛŋ bɔsaawɛ pɔmbu kɔn wɛ.    Yɛ mpaamɔ. Nyotu nlɛlɔ.  Kikɔslyɛ ji jomaawɛ. Ikɛɛ ji ɔ pundɔ tee. Kɔn ntewsaa nai?  Kɔn KOVID-19 ntakaa nɛ tabanda. Ɔ kitatla kikɔn, gwomɔ, yɛ mpaamɔ. Yɛ mbɛ nɛ kikɔslyɛ moo ji jomaawɛ yi. Pundɔ ŋkɛɛ ya. Nyotu moo gwaa nlɛlɔ tɛsi. Gwomɔ fɔku, jol waa ji kɛɛ. A'i tɛsi folɔ. Mel ŋkɛɛ ya. Yɛ'i nɛ kul yɛ ntɛsi bɛ nɛ fol. Gwomɔ fɔku, tɔɔ yɛ ji nɛ kɔn, yɛ bɛk kɔmbyɛ. Yɛ mɛɛ seŋlɛ naa yɛ'i nɛ kɔn. Mbyɛtma gwomɔ ntɔɔmbɔ bɛk nɛ ceti.  Momɔ moo ŋkɔslɛ yi. Fela KOVID-19 ŋkalaa yi  KOVID-19 ŋkalaa nɛ momɔ moo ji nɛ kɔn ɔ nyotu tee. Kipɛtɔ momɔ moo ji kɔmbyɛŋ yi ŋkɔslɛ keh kisi a ncislɛ yi, a mpaamɔ gwɔgwɔɔnɔ nciki nɛ jol nɛ mombu. Keh momɔ fɔku nsosɔ nciki mɛ, a ji nɛ kul a njataa KOVID-19. Keh momɔ fɔku nsukɔ ndɔɔ nciki jol mɛ kawlyɛ yi, a nnyɛ si sukɔ misi, tɔɔ jol, tɔɔ mombu wɛɛ, a ji tɛsi nɛ kul a njataa kɔn nɛh.      Sɛ ŋkwɛnjɔ kɔn nai ? 1. Ɔ bɛk sûkɔ misi, jol, tɔɔ mombu.   2. Ɔ njoolɛ mbɔ kipɛtɔ cindi nɛ nciki pupɛŋ nɛ sɔwɔ. Ɔ njomsɛ mbɔ nɛ tawla pupɛŋ.   3. Ɔ ŋkɔslɛ, nɛ ncislɛ ɔ  lemɛlemɛ mbɔ.   4. Ɔ bɛk jîh bupa besi. Ɔ bɛk sûkɔ itɛtɛl si la nɛ misi yi.      5. Ɔ bɛk tɛ̂wlɛ kunwaawɛ nɛ moo ncislɛ yi, tɔɔ moo ŋkɔslɛ yi. Ɔ nlondɔ nɛ ja tɔɔ tah mɛta mɔtu.  6. Ɔ bɛk byêlɔ gwomɔ mbɔ. Nɛ mpyɛplɛ mbɔ, tɔɔ nɛ ŋkee si naa : « Ɔ ndomb'ɛɛ. »  7. Ɔ bɛk jîlɔ igwosu mbyɛtma gwomɔ.  8. Ɔ bɛk ja jaandɔ.   9. Ɔ mfoktɛ tom. Ɔ ntɛsi pyaalɔ keh tom wɛ ji ciŋŋciŋŋ.  Keh momɔ mɛ jataa kɔn, a saŋ nai ?  Keh ɔ yɔku joktaa naa gwɛ ŋkɔmbyɛ, ɔ bɛk kɔ sanjaa nɛ gwomɔ. Gwɛ njilɔ petɛŋ ɔ itoo tee.   Gwɛ ŋkɔ taakɔ lɔlɔlɔ. Gwɛ ndowaa ɔ 1510 pɔmbu ijokɔ tewcɛ dokta. Gwɛ ji tɛsi nɛ kul gwɛ ndowaa :   699 279 622 675 308 373 698 423 929 655 728 884 670 713 979  699 933 725 677 429 375 699 986 740 676 466 797 670 113 761  Kwalyɛŋ nɛ kipɛtɔ cinɛh, ceti si la bɛk bɛ pɔmbu itomsɛ KOVID-19, lɛɛ adokta yɔku pɛwɔ ceti moo njalaa yi.  Momɔ cindi njalaa nɛ biwaa pɔmbu ikambaa nɛ gwɛɛ nyotu wɛ nɛ nyotu moo gwomɔ fɔku tɛsi.   Cak ibuku fɔku nciyaa yi  Kɔn kibuku : Boku momɔ tɛɛ nɛ kul a nsosɔ tambyɛ. Kɔn nɛh bɛŋ wɛɛ maalɔ. Yɛ ndowaa kɔn kibuku ﻿« asthme » ɔ Pulasi tee.  Fol ŋkusɔ ɔ jol : A ji tah nciki mboma. Yɛ ndowaa yɛ « écoulement nasal » ɔ Pulasi tee.  Tabanda : A ji tah mboma. Yɛ ndowaa kɔn nɛh ﻿« grippe » ɔ Pulasi tee.    ","Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19  Association Camerounaise pour ﻿la Traduction de la Bible et l'Alphabétisation  Ce que vous devez ﻿savoir ﻿sur le ﻿CORONAVIRUS ﻿ou ﻿COVID-19 Les informations contenues dans ce livret ﻿proviennent du site internet ﻿de l'Organisation Mondiale de la Santé (OMS). https://www.who.int/fr/home Traduit en Kwakum par : NDENGUE NDENGUE Simon  Toutes les photos appartiennent à CABTAL, sauf ﻿p.2 à Pixabay ﻿p.6 (boucher) et p.7 (foule) à Wikimedia Commons ﻿p.7 (gens regardant la TV) à United Nations (Photo # 616869 UN Photo/Marco Dormino)  Contacts CABTAL  Web : www.cabtal.org Mail : info_cabtal@cabtal.org  Tel : (237) 699 833 535 WhatsApp : (237) 654 439 659  B.P. : 16 550 Yaoundé, Cameroun                                                    ",What you need to know about the CORONAVIRUS or COVID-19    What you need to know about the CORONAVIRUS or COVID-19                                                        
