ahk,spa,yin,eng
Koˬroˬ naˬ vaiˇ rasˆ gaˇ kawˆ,Sobre el Coronavirus,Lawng yawz ka mah phrihz korona ,About Coronavirus
,,,
,,,
,,Lo mas mok mah phrihz korona ne naeh mah phrihz ceun nae,
,,teur takz,
,,mony ,
,,keu dawhz,
,,ngaai,
,,Moh aarz ni lan phraeoz a mih,
,,ihz moh rak,
,,ihz penz ,
,,Meuz cakz keu ni car ne aez yawz ka an ni prae. ,
,,moh yaan ponz keu teungz leuz ne lawt takz yawz ka.,
,,1,
,,ponz keu teungz leuz (aarz metz),
,,keum casz ,
,,"Beuk mih awlz ihz seu hawkz hawkz eulz, keum casz, reum keu ni kaw mih caang cih boh seu meoz meoz. ",
,,aez keuh nahz seum bitz keu dawhz.Keuh keum casz nam anz kaw eulz tuhz an diz ne kan aez yawz ka ihz naeh thatz daehz.,
,,2,
,,kez cuz mawh baaiz (ihz keum okz),
,,"nam anz kaw, ",
,,sangz daz hnhz nam maang reum kaw hnhz caang kan mial toz daehz.,
,,sangz daz maang boh yawz ka kaw nam caang plaez yawz ka keuiz daz caang teur takz boh.,
,,kawp nam mas yaeh maang yawz ka rae wiar ihz wungz.,
,,kawn kaepz ,
,,ihz mok rak,
,,tihz law li boh tihz yeu thaz ,
,,mangz keur wah,
,,cez watz,
,,omz klakz ,
,,phrihz phrahz caak,
,,thaz nawk seum bitz keu dawhz,
,,tihz reung duangz,
,,seum kraai khuakz caak ,
,,seum taemz,
,,tihz keur wah,
,,tihz keuh,
,,omz nyaangz ihz penz keui teur laehz teur pawk caang klaez kaai phrihz phrahz seu meoz meoz.,
,,"keuh caang reum, caang takz",
,,teu ngaai ihz ti daehz rak ne,
,,meuz truz nyual mial ngaai daehz,
,,beuk pehz a wa teu phrihz phrahz seu meoz meoz an maang mah phrihz an diz kaw,
,,aez ehz kan bawnz ne leh seu pya nam anz kaw leh omz a yaetz phaan cih mok keui khez rak rak.,
,,mah phrihz an ni caang moh kaai phrihz phrahz heungz na ri baaiz.,
,,seu pya,
,,An caang kan naeh hanz meoz,
,,cih tawiz keu ni kaw rak baaiz.,
,, leh seu pya khez phraeoz a niz.,
,,tawkz wawk,
,,yak teu ngaai daehz. Nam anz kaw yak teu ngaai ihz. Beuk daz nam teu nam caang daz kaw khez aacz tihz sirz sirz. ,
,,aez ceu nawhz seu ngawk haepz piz beutz ta aarz laehz,
,,tawiz reum himz,
,,ta aarz kawlz caek kaanz,
,,tawiz peur lah reum haz ,
,,khez butz tihz ,
,,Sirz sirz ne daz naehz?,
,,beuk lan teu maen kaw yak kawcz phawmz. Leh seu pya khez mial tihz daehz. ,
,,yak teu plaakz thaz nawk seum bitz keu dawhz.,
,,cakz,
,,sapz mok seum bitz keu dawhz ceu nawhz baaiz kaw mah phrihz caang mawh tuhz an diz. ,
,,seum bitz keu dawhz teun akz ne yak cao leuz seu seu ngihz. Nuarz a wa thurz kaw thengz. ,
,,cao laak sawtz sawtz seu tuhz.,
,,kuanz ihz ,
,,paz,
,,mah,
,,cao seum watz daehz leun,
,,"seum suamz, klohz sroz seu tuhz sroz kaaiz, klakz omz boh seum watz ngaai keui yak cao teur kawmz. ",
,,cih seu naez kaw dangz darz daehz nam caang teu ngaai daehz.,
,,meuz lawk dapz keur wah ne leh dangz  darz (nam anz kaw) leh cawkz pahz nyunz. Beuk caang kaw yak leh tihz lawk dapz. ,
,,kaang ,
,,meuz weng truz thaz nawk,
,,meuz maat suamz seum suamz,
,,leh seu pya khez tihz se se ,
,,meuz teuk wa ,
,,moh aez lawt phez klawhz ihz ,
,,moh aez lawt phez klawhz ihz,
,,,"Created by Weiman Kow, instagram: weimankow"
Koˬroˬ naˬ vaiˇ rasˆ gaˇ kawˆ                                                                                       Koˬroˬ naˬ vaiˇ rasˆ gaˇ kawˆ        ,Sobre el Coronavirus                                                                                       Sobre el Coronavirus        ,"Lawng yawz ka mah phrihz korona     Lo mas mok mah phrihz korona ne naeh mah phrihz ceun nae teur takz mony  keu dawhz ngaai Moh aarz ni lan phraeoz a mih ihz moh rak ihz penz  Meuz cakz keu ni car ne aez yawz ka an ni prae.  moh yaan ponz keu teungz leuz ne lawt takz yawz ka. 1 ponz keu teungz leuz (aarz metz) keum casz  Beuk mih awlz ihz seu hawkz hawkz eulz, keum casz, reum keu ni kaw mih caang cih boh seu meoz meoz.  aez keuh nahz seum bitz keu dawhz.Keuh keum casz nam anz kaw eulz tuhz an diz ne kan aez yawz ka ihz naeh thatz daehz. 2 kez cuz mawh baaiz (ihz keum okz) nam anz kaw,  sangz daz hnhz nam maang reum kaw hnhz caang kan mial toz daehz. sangz daz maang boh yawz ka kaw nam caang plaez yawz ka keuiz daz caang teur takz boh. kawp nam mas yaeh maang yawz ka rae wiar ihz wungz. kawn kaepz  ihz mok rak tihz law li boh tihz yeu thaz  mangz keur wah cez watz omz klakz  phrihz phrahz caak thaz nawk seum bitz keu dawhz tihz reung duangz seum kraai khuakz caak  seum taemz tihz keur wah tihz keuh omz nyaangz ihz penz keui teur laehz teur pawk caang klaez kaai phrihz phrahz seu meoz meoz. keuh caang reum, caang takz teu ngaai ihz ti daehz rak ne meuz truz nyual mial ngaai daehz beuk pehz a wa teu phrihz phrahz seu meoz meoz an maang mah phrihz an diz kaw aez ehz kan bawnz ne leh seu pya nam anz kaw leh omz a yaetz phaan cih mok keui khez rak rak. mah phrihz an ni caang moh kaai phrihz phrahz heungz na ri baaiz. seu pya  An caang kan naeh hanz meoz cih tawiz keu ni kaw rak baaiz.  leh seu pya khez phraeoz a niz. seu pya tawkz wawk yak teu ngaai daehz. Nam anz kaw yak teu ngaai ihz. Beuk daz nam teu nam caang daz kaw khez aacz tihz sirz sirz.  aez ceu nawhz seu ngawk haepz piz beutz ta aarz laehz tawiz reum himz ta aarz kawlz caek kaanz tawiz peur lah reum haz  khez butz tihz  Sirz sirz ne daz naehz? beuk lan teu maen kaw yak kawcz phawmz. Leh seu pya khez mial tihz daehz.  yak teu plaakz thaz nawk seum bitz keu dawhz. cakz sapz mok seum bitz keu dawhz ceu nawhz baaiz kaw mah phrihz caang mawh tuhz an diz.  seum bitz keu dawhz teun akz ne yak cao leuz seu seu ngihz. Nuarz a wa thurz kaw thengz.  cao laak sawtz sawtz seu tuhz. kuanz ihz  paz mah cao seum watz daehz leun seum suamz, klohz sroz seu tuhz sroz kaaiz, klakz omz boh seum watz ngaai keui yak cao teur kawmz.  cih seu naez kaw dangz darz daehz nam caang teu ngaai daehz. meuz lawk dapz keur wah ne leh dangz  darz (nam anz kaw) leh cawkz pahz nyunz. Beuk caang kaw yak leh tihz lawk dapz.  kaang  meuz weng truz thaz nawk meuz maat suamz seum suamz leh seu pya khez tihz se se  meuz teuk wa  seu pya moh aez lawt phez klawhz ihz  moh aez lawt phez klawhz ihz seu pya       Lawng yawz ka mah phrihz korona         ","About Coronavirus                                                                                       About Coronavirus    Created by Weiman Kow, instagram: weimankow    "
