eng,gbj
"COVID-19, Prevention Teaching Tool (Odia and English)  କୋଭିଡ-୧୯, ବିଶ୍ୱବ୍ୟାପି ମହାମାରୀ ",COVID - 19 Prevention Teaching Tool (community version - India)
,
Odia & English Bilingual COVID-19 Preventive Teaching Tool,
,
"କୋଭିଡ-୧୯, ଦେଶବ୍ୟାପି ମହାମାରୀ   ",
"COVID-19, Prevention Teaching Tool",
"Thanks to all the contributors in the internet and the friends who have contributed especially for my doctor friends who have given their input.                 Medical Technical advise: Dr. Viju John, EHA Editor Ms. Eleanor Mcalpine, SIL Rev. Prabhakar Nayak, NOBO (New Outreach Bible in Odia) Compiled and written by Herald Rajan, SIL  15 April 2020 Version 1.01  Disclaimer: The content of this booklet, such as graphics, images, text and all other materials, is provided for reference and educational purposes only. The content is not meant to be complete or exhaustive or to be applicable to any specific individual's medical condition.  ଏହି ବିଷୟ ପାଇଁ ଯେଉଁମାନେ ଇଣ୍ଟେରନେଟରେ ଏବଂ ଅନ୍ୟ ଉପାୟରେ ତଥ୍ୟ ଦେଇଛନ୍ତି ସେମାନଙ୍କୁ, ବିଶେଷ ଭାବରେ ତଥ୍ୟ ଦେଇଥିବା ମୋର ଡାକ୍ତର ବନ୍ଧୁମାନଙ୍କୁ ମୁଁ ଧନ୍ୟବାଦ ଦେଉଅଛି। ମେଡିକାଲ ବୈଷୟିକ ଜ୍ଞାନ କୌଶଳ ଉପଦେଷ୍ଟା: ଡ. ବିଜୁ ଯୋହନ, ଇଏଚଏ ସମ୍ପାଦିକା: ଶ୍ରୀମତୀ ଏଲିନର ମେକାଲପାଇନ, ଏସଏଲଆଇ ସଙ୍କଳନ ଓ ଲେଖା : ହେରାଲ୍‍ଡ ରାଜନ, ଏସଏଲଆଇ ଓଡ଼ିଆ ଅନୁବାଦ: ରେଭ୍ ପ୍ରଭାକର ନାୟକ, ନବ ଓଡ଼ିଆ ବାଇବଲ ଅନୁବାଦ, ଭୁବନେଶ୍ୱର ୧୫ ଏପ୍ରିଲ ୨୦୨୦ ସଂଖ୍ୟା ୧.୦୧ ଘୋଷଣା: ଏହି ପୁସ୍ତକର ବିଷୟବସ୍ତୁ, ଯଥା, ଚିତ୍ର, ଫୋଟ, ଲେଖା ଏବଂ ଅନ୍ୟାନ୍ୟ ବିଷୟ କେବଳ ପାଠକରିବାକୁ ଓ ଶିକ୍ଷାଦେବାକୁ ପ୍ରସ୍ତୁତ କରାଯାଇଛି। ଏହାର ବିଷୟବସ୍ତୁକୁ କୌଣସି ବ୍ୟକ୍ତି ମେଡିକାଲ ସର୍ତ୍ତ ନିମନ୍ତେ ଶେଷ ସିଦ୍ଧାନ୍ତ ଭାବରେ ବ୍ୟବହାର କରିପାରିବେ ନାହିଁ। ",
https://www.who.int/ https://www.cdc.gov/ https://www.mygov.in/covid-19 https://www.unicef.org/coronavirus/how-teachers-can-talk-children-about-coronavirus-disease-covid-19,
"ଶିକ୍ଷାଦାତାଙ୍କ ନିମନ୍ତେ ପରାମର୍ଶ ୧. ଦଳର ସଭ୍ୟସଭ୍ୟାମାନେ କହୁଥିବା କଥା ଅବଶ୍ୟ ଶୁଣନ୍ତୁ ଏବଂ ସେମାନେ ପଚାରୁଥିବା ପ୍ରଶ୍ନର ଉତ୍ତର ଦିଅନ୍ତୁ। ୨. ସଭ୍ୟସଭ୍ୟାମାନେ ନିଜକୁ ଓ ଅନ୍ୟମାନଙ୍କୁ ନିରାପଦ ରଖିବାକୁ ବହୁତ ବିଷୟ କରିପାରିବେ, ଏହି ବିଷୟ ଉପରେ ଗୁରୁତ୍ୱାରୋପ କରନ୍ତୁ। ଉଦାହରଣ ସ୍ୱରୂପେ, ସାମଜିକ ଦୂରତା ରକ୍ଷାକରିବାର ଧାରଣା ବିଷୟରେ କୁହନ୍ତୁ, ପୁଣି ଉତ୍ତମ ସ୍ୱାସ୍ଥ୍ୟ ଆଚରଣ ଯଥା, କାଶିବା ବା ଛିଙ୍କିବା ସମୟରେ କହୁଣୀରେ ମୁହଁ ଢାଙ୍କିବା ଓ ହାତ ଧୋଇବା ବିଷୟ କୁହନ୍ତୁ। ୩. ଅପବାଦର ସମ୍ମୁଖିନ ହେବାକୁ ଓ ନିବାରଣ କରିବାକୁ ଉତ୍ସାହିତ କରନ୍ତୁ। ସେମାନଙ୍କ ଚାରିପଟେ ଘଟୁଥିବା ଭେଦଭାବ ବିଷୟରେ ସେମାନଙ୍କର ପ୍ରତିକ୍ରିୟା ବିଷୟରେ ଆଲୋଚନା କରନ୍ତୁ। ଜରୁରୀକାଳୀନ ପରିସ୍ଥିତିରେ ଏସବୁ ଅତିସାଧାରଣ ପ୍ରତିକ୍ରିୟା ଏହା ସେମାନଙ୍କୁ ବୁଝାନ୍ତୁ। ସେମାନଙ୍କର ଭାବନାଗୁଡ଼ିକ ପ୍ରକାଶକରିବାକୁ ଓ ଜଣାଇବାକୁ ଉତ୍ସାହିତ କରନ୍ତୁ, କିନ୍ତୁ, ସେମାନଙ୍କୁ ଆହୁରି ବୁଝାଇ କହନ୍ତୁ ଯେ, ଗୋଟିଏ କଷ୍ଟକର ପରିସ୍ଥିତିକୁ ଭୟ ଓ ଅପବାଦ ଆହୁରି ମନ୍ଦ କରିଥାଏ। ସମାଜରେ ବହୁ ଦିନରୁ ରହିଆସିଥିବା ପରମ୍ପରାଗତ ଧାରଣା ଯୋଗୁ, ବର୍ତ୍ତମାନ ଦେଖାଦେଇଥିବା ପରିସ୍ଥତିରୁ ଲୋକମାନେ ନିଜକୁ ସୁରକ୍ଷା କରିବା ନିମନ୍ତେ ଯେଉଁ ପଦକ୍ଷେପଗୁଡ଼ିକ ନେବାର ଆବଶ୍ୟକ ଅଛି, ସେହି ପଦକ୍ଷେପଗୁଡ଼ିକ ନେବାଠାରୁ ଦୂରରେ ରଖିଥାଏ। ୪. ଏହି ପତ୍ରକା ପାଠକରିବା ପରେ ଏହି ବିଷୟରେ ଆଲୋଚନା କରନ୍ତୁ: କୋରୋନା ଭାଇରସ୍‍ ବିଷୟରେ ଆଲୋଚନା କରିବାକୁ, ଏହା “କର“ ଏବଂ ଏହା “କର ନାହିଁ” ପାଠକରନ୍ତୁ। ୫. ସଭ୍ୟସଭ୍ୟାମାନଙ୍କୁ ମନେପକାଇଦିଅନ୍ତୁ ଯେ, ସେମାନେ ସେମାନଙ୍କ ପରିବାରର ଲୋକମାନଙ୍କ ସହିତ ଭଲରେ ବ୍ୟବହାର କରିବାକୁ ହେବ। ସେମାନେ ଜଣେ ନେତା ଭାବରେ ନିଜକୁ, ନିଜ ପରିବାରର ଲୋକମାନଙ୍କୁ, ନିଜ ଗ୍ରାମର ଲୋକମାନଙ୍କୁ ଏବଂ ନିଜ ସମାଜର ଲୋକମାନଙ୍କୁ ସ୍ୱାସ୍ଥ୍ୟପୂର୍ଣ୍ଣ ରଖିବାକୁ ହେବ। ",
"                                                                Instructionsfor facilitators 1. Make sure to listen to group members’ concerns and answer their questions. 2. Emphasize that members can do a lot to keep themselves and others safe. For example, introduce the concept of social distancing, and focus on good health behaviours, such as covering coughs and sneezes with the elbow and washing hands. 3. Encourage members to confront and prevent stigma. Discuss the reactions they may experience around discrimination, and explain that these are normal reactions in emergency situations. Encourage them to express and communicate their feelings, but also explain that fear and stigma make a difficult situation worse. Words matter, and using language that perpetuates existing stereotypes can drive people away from taking the actions they need to protect themselves.  4. Dicuss after reading the booklet: Read some do’s and don’ts for how to talk about the coronavirus. 5. Remind members that they can share healthy behaviours with their families. Be a leader in keeping themsleves, their family, their village and their community healthy. ",
