cak,zaw,kek,spa
Ka'i' oxi' tzij pa ruwi' ri CORONAVIRUS,Yälguijch guichgaroore nani laa “coronavirus”,Na'leb',Chi rix li kaqi yajel
,,,
,,Xjolomil li Tzolok re Watemaal Xna'il Xjolomil li Tzolok sa' Ka'paay chi Aatinob'aal,
,,,
,,NAPUKANK,
,,Napukank naq narachok li xya'al li qe ut qu'uj ,
,,Naq nakoo'atismak ,
,,Jo'kan naq aajel ru xtz'apb'al li qu'uj,
,,"Naruuk naq li poyanam wank xyajeleb' ut ink'a' nake' xk'ut, ab'an jwal nake'b'onok.",
,,B'ar naqataw li kaqi yajel,
,,pitz'leb' re taqeek',
,,sut,
,,sek',
,,ulul ch'iich',
,,chi rix xtz'apb'al li e,
,,xmesb'al uqb',
,,tz'iib'leb',
,,uk'leb',
,,Li uq'b',
,,Qakolaq aj wi' li qana' qayuwa' chi ru li yajel a'in,
,,Ut k'a' ru tinb'aanu,
,,Xch'ajb'al uq'b' rik'in xab'on,
,,Jo'kan aajel ru xb'aanunkil li oob' chi na'leb' a'in,
,,Xch'ajb'al li rit qatelb',
,,Ch'aji xala laawuq'b',
,,Li mitz' aj xul nake'tamk chi ru li xtz'apb'al li u'uj wi' najt taawoksi.,
,,Ch'aj laawuqb' naq taach'e' li t'ikr ,
,,"Maach'e' sa' laawu, laaxik ut lawu'uj.",
,,Sik' aj tenq'anel sa' li yajel wi' yook aayajel.,
,,¡Qilaq qib' sa' komonil!,
,,Il ma xaataw ru,
,,K'a' ru nak'utuk re naq yook qajot'b'al li kaqi yajel,
,,ojb'il,
,,tiq,
,,se'ek,
,,K'a' ru naruuk xb'aanunkil re xkolb'al qib',
,,Elk sa' b'e,
,,Xch'ajb'al li quq'b',
,,Roksinkil chi chaab'il li xlanb'al u'uj,
,,,"Escrito por Weiman Kow, © 2020 Weiman Kow. CC BY-NC-SA 4.0. Imágenes por Weiman Kow, © 2020 Weiman Kow. CC BY-NC-SA 4.0."
,,,-
,,,"Coordinación: Emilio Ajquejay, Justo Magzul y Sophia Maldonado.   Contextualización:  Elías Caal Oxom.                                                            Edición: Roberto Coc Caz y Hermelindo Quim."
,,,"Creado por Weiman Kow, instagram: weimankow. Disponible en bloomlibrary.org"
,,978-9929-794-28-3,978-9929-794-28-3
Ka'i' oxi' tzij pa ruwi' ri CORONAVIRUS                                                                                     Ka'i' oxi' tzij pa ruwi' ri CORONAVIRUS        ,Yälguijch guichgaroore nani laa “coronavirus”                                                                                     Yälguijch guichgaroore nani laa “coronavirus”        ,"Na'leb'  Xjolomil li Tzolok re Watemaal Xna'il Xjolomil li Tzolok sa' Ka'paay chi Aatinob'aal  NAPUKANK       Napukank naq narachok li xya'al li qe ut qu'uj      Naq nakoo'atismak     Jo'kan naq aajel ru xtz'apb'al li qu'uj   Naruuk naq li poyanam wank xyajeleb' ut ink'a' nake' xk'ut, ab'an jwal nake'b'onok. B'ar naqataw li kaqi yajel pitz'leb' re taqeek' sut sek' ulul ch'iich' chi rix xtz'apb'al li e xmesb'al uqb'  tz'iib'leb' uk'leb' Li uq'b' Qakolaq aj wi' li qana' qayuwa' chi ru li yajel a'in   Ut k'a' ru tinb'aanu   Xch'ajb'al uq'b' rik'in xab'on  Jo'kan aajel ru xb'aanunkil li oob' chi na'leb' a'in    Xch'ajb'al li rit qatelb'      Ch'aji xala laawuq'b'     Li mitz' aj xul nake'tamk chi ru li xtz'apb'al li u'uj wi' najt taawoksi. Ch'aj laawuqb' naq taach'e' li t'ikr      Maach'e' sa' laawu, laaxik ut lawu'uj.  Sik' aj tenq'anel sa' li yajel wi' yook aayajel.  ¡Qilaq qib' sa' komonil! Il ma xaataw ru K'a' ru nak'utuk re naq yook qajot'b'al li kaqi yajel ojb'il tiq se'ek    Il ma xaataw ru K'a' ru naruuk xb'aanunkil re xkolb'al qib' Elk sa' b'e Xch'ajb'al li quq'b' Roksinkil chi chaab'il li xlanb'al u'uj    Na'leb'     978-9929-794-28-3   ","Chi rix li kaqi yajel                                                                                     Chi rix li kaqi yajel Escrito por Weiman Kow, © 2020 Weiman Kow. CC BY-NC-SA 4.0. Imágenes por Weiman Kow, © 2020 Weiman Kow. CC BY-NC-SA 4.0. - Coordinación: Emilio Ajquejay, Justo Magzul y Sophia Maldonado.   Contextualización:  Elías Caal Oxom.                                                            Edición: Roberto Coc Caz y Hermelindo Quim. Creado por Weiman Kow, instagram: weimankow. Disponible en bloomlibrary.org 978-9929-794-28-3   "
